synsetId	ili	partOfSpeech	lexfile	members	definition	exampleCount
awn4-00002724-v	i21781	v			التنفس بصعوبة كبيرة، كما عند الشعور بعاطفة قوية	1
awn4-00002730-a	i5	a			مُواجه أو على الجانب المتجه نحو القمة	0
awn4-00002843-a	i6	a			مُواجه أو على الجانب المتجه نحو القاعدة	0
awn4-00002935-r		r			بمقدار ضئيل	5
awn4-00002942-v	i21782	v			التنفس بقوة وسرعة مفرطة	1
awn4-00002956-a	i7	a			(خاصة للعضلات) يسحب بعيداً عن خط الوسط للجسم أو عن جزء مجاور	0
awn4-00003131-a	i8	a			(خاصة للعضلات) يجمع أو يسحب نحو خط الوسط للجسم أو نحو جزء مجاور	0
awn4-00003133-v	i21783	v			التسبب في زيادة معدل التنفس لدى المريض لأغراض طبية	1
awn4-00003175-r	i18164	r			في هذه اللحظة بالضبط أو اللحظة الموصوفة	1
awn4-00003316-v	i21784	v			استنشاق (هواء، ماء، إلخ)	0
awn4-00003317-r	i18165	r			تقريباً لا؛ بصعوبة بالغة	6
awn4-00003356-a	i9	a			في طور الولادة أو البداية	2
awn4-00003443-v	i21785	v			طرد الغاز من المعدة	1
awn4-00003552-s	i10	s			يظهر إلى الوجود؛ في طَوْر التكوُّن	0
awn4-00003553-n	i35550	n			تجمُّع من الأجزاء يُعَدّ كيانًا واحدًا متكاملًا	0
awn4-00003662-v	i21786	v			أطلق أو تسبب في التحرك بقوة الجهد	2
awn4-00003675-r	i18166	r			بطريقة متباينة الخواص (غير متساوية في جميع الاتجاهات)	0
awn4-00003699-s	i11	s			ينفجر مُنفتحًا بقوّة، كبعض أوعية البذور الناضجة	0
awn4-00003761-r	i18167	r			بطريقة مزعجة أو لدرجة تثير الانزعاج	0
awn4-00003826-v	i21787	v			التنفس بشكل متقطع وإصدار صوت	1
awn4-00003828-s	i12	s			في حالة المَخاض أو الوِلادة	0
awn4-00003864-r	i18168	r			في الجوهر؛ في الأصل أو بحكم الطبيعة	2
awn4-00003938-a	i13	a			في عملية الانتقال من الحياة أو التوقف عن الوجود	4
awn4-00003993-n	i35551	n			كيان كامل (شيء أو شخص) من نفس النوع أو الفئة التي ينتمي إليها آخر	2
awn4-00004032-v	i21788	v			إخراج تنهيدة؛ التنفس بعمق وثقل	1
awn4-00004152-r	i18169	r			بطريقة مباركة أو ميمونة	0
awn4-00004170-s	i14	s			على وَشَك الموت؛ يلفظ أنفاسه الأخيرة	0
awn4-00004227-r	i18170	r			بحماس شديد أو بانفعال مضطرب	1
awn4-00004227-v	i21789	v			طرد الهواء	1
awn4-00004258-n	i35552	n			كيان حيّ أو كان حيًّا في وقت ما	0
awn4-00004295-s	i15	s			يقع عند لحظة الموت	0
awn4-00004306-r	i18171	r			بطريقة تدعو للحسد	1
awn4-00004412-a	i16	a			(يستخدم للنصوص) مُقصّر عن طريق التكثيف أو إعادة الصياغة	1
awn4-00004419-r	i18172	r			بطريقة تجعل أمراً ما واضحاً وجلياً	1
awn4-00004475-n	i35553	n			كائن حيّ قادر على الفعل أو الأداء الوظيفيّ بشكل مستقلّ، أو لديه القدرة على ذلك	0
awn4-00004492-v	i21790	v			الامتناع عن الزفير أو الطرد	1
awn4-00004565-r	i18173	r			بطريقة سلبية	1
awn4-00004605-v	i21791	v			أخرج (نفساً أو رائحة)	1
awn4-00004614-s	i17	s			أُزِيلَت أجزاء منه	0
awn4-00004669-r	i18174	r			بطريقة ضارة أو مؤذية	1
awn4-00004722-s	i18	s			اختُصِرَ إلى نصف طوله الأصلي	0
awn4-00004775-r	i18175	r			بطريقة لطيفة أو نابعة من اللطف	2
awn4-00004816-s	i19	s			(عامّيّة بريطانيّة) مُلخَّص أو مُختصَر	0
awn4-00004819-v	i21792	v			يزفر بشكل تشنجي، كما عند دخول مهيج إلى أنف المرء	1
awn4-00004948-r	i18176	r			بطريقة غير لطيفة أو بقسوة	1
awn4-00004979-a	i20	a			(يستخدم للنصوص) غير مُقصّر أو مُختصر	1
awn4-00005041-v	i21793	v			سحب (الهواء) للداخل	4
awn4-00005103-r	i18177	r			ولا شيء أكثر من ذلك	5
awn4-00005106-s	i21	s			كامل بلا حذف أو اختصار	0
awn4-00005204-a	i22	a			مثالي أو كامل أو خالص	4
awn4-00005348-r	i18178	r			بشكل مطلق؛ كلياً؛ حقاً	1
awn4-00005436-r	i18179	r			بطريقة بسيطة؛ دون إسراف أو زخرفة	2
awn4-00005472-s	i23	s			يخلو من عناصر التسوية أو التخفيف	0
awn4-00005526-v	i21794	v			التنفس بصوت عال، كما عندما يكون المرء مرهقاً	1
awn4-00005591-r	i18180	r			في الأزمنة القديمة؛ منذ زمن بعيد	1
awn4-00005598-s	i24	s			بلا شكّ أو تحفُّظ	0
awn4-00005717-s	i25	s			كلّيّ وشامل لكلّ شيء	0
awn4-00005724-r	i18181	r			كما يمكن إثباته بالحجة أو البرهان	1
awn4-00005787-n	i35554	n			كائنات (نباتات وحيوانات) تعيش في أو بالقرب من قاع بحر أو بحيرة أو نهر أو جدول	0
awn4-00005815-v	i21795	v			زفر فجأة، كما هو الحال عند الإصابة بنزلة برد صدرية أو احتقان	1
awn4-00005834-r	i18182	r			بطريقة لا تشوبها الخجل أو الارتباك	1
awn4-00005838-s	i26	s			(غير رسمي) مُطلَق، تامّ	0
awn4-00005930-n	i35555	n			نبات أو حيوان صغير بشكل غير نمطي	0
awn4-00005948-r	i18183	r			بطريقة انعكاسية لا إرادية	1
awn4-00006024-n	i35556	n			كائن يعتمد على مواد عضوية معقدة للتغذية	0
awn4-00006050-a	i27	a			مُقدّر بالمقارنة؛ ليس مطلقاً أو كاملاً	1
awn4-00006055-r	i18184	r			بطريقة تثير القلق أو الخوف	1
awn4-00006100-v	i21796	v			سعل بشكل تشنجي	1
awn4-00006150-n	i35557	n			كائن (نبات أو حيوان) يتم الحصول منه على كائنات أصغر	0
awn4-00006160-r	i18185	r			إلى مدى أو درجة كبيرة جداً	2
awn4-00006238-v	i21797	v			أخرج (البلغم أو البصاق) من الرئتين وخارج الفم	0
awn4-00006263-s	i28	s			له علاقة بشيء آخر أو مرتبط به	0
awn4-00006269-n	i35558	n			الكائنات الحية مجتمعة	1
awn4-00006354-a	i29	a			لديه القدرة أو السعة أو الميل لامتصاص أو تشرب شيء ما (سوائل أو طاقة وما إلى ذلك)	1
awn4-00006400-n	i35559	n			وحدة منفصلة من المادة الحية	0
awn4-00006415-r	i18186	r			بطريقة جسيمة أو فادحة	0
awn4-00006484-n	i35560	n			(علم الأحياء) الوحدة الهيكلية والوظيفية الأساسية لجميع الكائنات الحية؛ قد توجد كوحدات مستقلة للحياة (كما في الكائنات وحيدة الخلية) أو تشكل مستعمرات أو أنسجة كما في النباتات والحيوانات العليا	0
awn4-00006486-r	i18187	r			في جزء كبير؛ بشكل رئيسي أو أساسي	1
awn4-00006523-v	i21798	v			إصدار صوت شخير عن طريق الزفير بقوة	1
awn4-00006640-r	i18188	r			بطريقة هامة أو ذات دلالة	1
awn4-00006697-v	i21799	v			التنفس بصعوبة	0
awn4-00006795-s	i30	s			يُحفِّز أو يُعزِّز عمليّة الامتصاص	0
awn4-00006802-v	i21800	v			النفخ بقوة وبصوت عال	1
awn4-00006822-r	i18189	r			ليس بدرجة أو كمية هامة	1
awn4-00006903-s	i31	s			قادر على استيعاب الغازات أو الضوء أو السوائل في محلول	0
awn4-00007009-r	i18190	r			بدرجة يمكن ملاحظتها	1
awn4-00007012-v	i21801	v			الزفير بقوة	1
awn4-00007115-s	i32	s			يمتصّ الرطوبة من الهواء	0
awn4-00007128-r	i18191	r			بواسطة وسائل الموجات فوق الصوتية	1
awn4-00007193-v	i21802	v			النفخ أو التنفس بقوة على أو في	0
awn4-00007227-s	i33	s			قادر على امتصاص السوائل؛ غير طارد لها	0
awn4-00007257-r	i18192	r			بطريقة عصرية وأنيقة	1
awn4-00007328-v	i21803	v			إخراج تثاؤب، بسبب نقص الأكسجين أو التعب	1
awn4-00007347-n	i35561	n			أيّ كيان يُحدِث أثرًا أو يكون مسؤولًا عن أحداث أو نتائج	0
awn4-00007350-s	i34	s			لديه القدرة على امتصاص طاقة الصدمات	0
awn4-00007414-r	i18193	r			(للكميات) غير دقيق ولكنه قريب جداً من الصواب	10
awn4-00007535-s	i35	s			يُشبه الإسفنج في قدرته على امتصاص السوائل وإعادتها عند الضغط	0
awn4-00007549-v	i21804	v			الاستنشاق بصوت مسموع من الأنف	1
awn4-00007716-s	i36	s			قادر على استيعاب كمّيّات كبيرة من الرطوبة	0
awn4-00007739-v	i21805	v			يغلق عينيه لفترة وجيزة	1
awn4-00007832-a	i37	a			غير قادر على الامتصاص أو التشرب (للسوائل)	0
awn4-00007846-n	i35562	n			كائن بشري؛ فرد من البشر	1
awn4-00007887-r	i18194	r			كلياً وبالتأكيد؛ بلا جدال	3
awn4-00008009-s	i38	s			غير قادر على الامتصاص أو الاختلاط	0
awn4-00008055-v	i21806	v			يغمز أو يرمش، خاصة بشكل متكرر	0
awn4-00008102-r	i18195	r			إلى حد ما؛ بدرجة معينة؛ ليس كلياً	2
awn4-00008195-v	i21807	v			يرمش لفترة وجيزة	1
awn4-00008225-a	i39	a			لديه القدرة أو الميل للامتزاز أو التسبب في التراكم على السطح	0
awn4-00008299-v	i21808	v			أشار بالغمز	1
awn4-00008300-r	i18196	r			جزئياً أو بمقدار النصف	1
awn4-00008423-r	i19554	r			إلى درجة كاملة أو إلى الحد الأقصى؛ بالكامل	11
awn4-00008435-v	i21809	v			الكبح عن طريق الرمش	1
awn4-00008462-s	i40	s			لديه القدرة على الامتزاز بقوى كيميائيّة لا فيزيائيّة	0
awn4-00008595-v	i21810	v			جعل عينيه تتقاطعان (كالأحول)	1
awn4-00008614-a	i41	a			يفتقر إلى القدرة على الامتزاز أو التسبب في التراكم على السطح	0
awn4-00008753-a	i42	a			قادر على أن يُمتص أو يؤخذ من خلال مسام سطح ما	0
awn4-00008792-v	i21811	v			يغلق عينيه جزئياً، كما عند التعرض لضوء ساطع مباشر	1
awn4-00008896-a	i43	a			قادر على أن يُمتزّ أو يتراكم على سطح مادة صلبة	0
awn4-00008970-v	i21812	v			قام بحركة بالوجه تدل على الاشمئزاز أو عدم الإعجاب	1
awn4-00009062-r	i18198	r			دون تضمين أو إشراك أي آخرين	6
awn4-00009065-a	i44	a			مقتصد في الاستهلاك خاصة الطعام والشراب	1
awn4-00009140-v	i21813	v			طرح الشعر أو الجلد أو القرون أو الريش	1
awn4-00009365-s	i45	s			ضابط لنفسه؛ لا يُسرف في إشباع شهوته خاصّة في الطعام والشراب	0
awn4-00009459-r	i18199	r			بشكل كامل وبدون تحفظ؛ تستخدم بشكل غير رسمي للتوكيد	7
awn4-00009485-v	i21814	v			تقشر في قشور	1
awn4-00009624-v	i21815	v			قام بحركة قصيرة متقطعة غير منضبطة	1
awn4-00009637-s	i46	s			يُمارِس حرمانًا ذاتيًّا شديدًا	0
awn4-00009835-r	i18200	r			بشكل كامل؛ تستخدم للتوكيد	2
awn4-00009877-v	i21816	v			قام بحركات ارتعاشية سريعة وغير منتظمة ودقيقة (للقلب)	1
awn4-00009997-a	i47	a			ميّال إلى الإفراط في الاستهلاك خاصة الطعام أو الشراب	2
awn4-00010003-r	i18201	r			بالتحديد	1
awn4-00010047-v	i21817	v			تحرك بطريقة غير منضبطة	0
awn4-00010112-r	i18202	r			بطريقة مثالية أو خالية من الأخطاء	3
awn4-00010234-v	i21818	v			يتصرف بطريقة غير منضبطة	0
awn4-00010321-r	i18203	r			بشكل كامل أو متقن	2
awn4-00010404-s	i48	s			مُسرِف إسرافًا فاحشًا في الأكل أو الشرب	0
awn4-00010428-r	i18204	r			تستخدم في الطلب المهذب	1
awn4-00010428-v	i21819	v			يتصرف بطريقة معينة؛ يظهر سلوكاً معيناً	4
awn4-00010509-r	i18205	r			بطريقة غير كاملة أو معيبة	2
awn4-00010556-s	i49	s			يُعاني من الإفراط في الأكل أو الشرب	0
awn4-00010738-r	i18206	r			بطريقة غير لائقة أو خاطئة أو مؤسفة	3
awn4-00010745-s	i50	s			يلتهم الطعام أو يشتهيه بكمّيّات كبيرة	0
awn4-00010928-r	i18207	r			إلى أقصى درجة أو مدى؛ بشكل كامل أو كلي	5
awn4-00011179-s	i51	s			يُريد أن يأكل أو يشرب أكثر ممّا يستطيع أن يستهلك بشكل معقول	0
awn4-00011221-r	i18208	r			مع ذلك تكون النتيجة النهائية	2
awn4-00011346-s	i52	s			يُشبِه الخنازير في النَّهَم والجشع	0
awn4-00011354-v	i21820	v			يحاول بجدية بالغة إرضاء شخص ما	1
awn4-00011376-r	i18209	r			في النتيجة النهائية	1
awn4-00011473-r	i18210	r			في وقت قريب مثل	1
awn4-00011544-v	i21821	v			يأخذ حريات أو يتصرف بثقة زائدة	0
awn4-00011555-r	i18211	r			بطريقة جيدة أو لائقة أو مرضية أو بمعيار عالٍ	8
awn4-00011684-s	i53	s			شَرِه بإفراط مُبالَغ فيه	0
awn4-00011691-v	i21822	v			يتصرف بطريقة مبتذلة	1
awn4-00011776-a	i54	a			موجود فقط في العقل؛ منفصل عن التجسيد المادي	1
awn4-00011845-v	i21823	v			يتصرف كمتفائل ويأخذ نظرة مشرقة للعالم	0
awn4-00011975-v	i21824	v			يتصرف كدجال طبي أو مشعوذ	0
awn4-00011978-r	i18212	r			بطريقة فقيرة أو غير لائقة أو غير مرضية؛ ليس جيداً	7
awn4-00012090-s	i55	s			من طبيعة المفهوم أو التصوّر الذهني	0
awn4-00012130-v	i21825	v			يتصرف بطريقة تهديدية	1
awn4-00012260-v	i21826	v			يتصرف بطريقة معينة لاكتساب شيء	2
awn4-00012378-r	i18213	r			بصعوبة أو مشقة؛ قلّما	1
awn4-00012381-s	i56	s			يتعلّق بالمفاهيم أو يتّسم بتكوينها	0
awn4-00012427-v	i21827	v			يتصرف بغطرسة، أو ثقة مفرطة بالنفس، أو غرور	0
awn4-00012509-r	i18214	r			بطريقة متساوية الخواص في جميع الاتجاهات	0
awn4-00012591-r	i18215	r			بدون ضيق أو استياء غير عادي؛ بروح مرحة	2
awn4-00012606-v	i21828	v			يتصرف فجأة ببرود ورسمية	1
awn4-00012708-s	i57	s			لا يوجد إلّا في شكل فكرة أو صورة ذهنيّة	0
awn4-00012746-v	i21829	v			يتصرف بقسوة ووحشية شديدة	0
awn4-00012748-r	i18216	r			بضيق أو استياء أو ندم أو انفعال غير عادي	3
awn4-00012847-v	i21830	v			يتصرف بطريقة رومانسية	0
awn4-00012937-v	i21831	v			يتصرف بطريقة عاطفية أو ينغمس في أفكار أو تعبيرات عاطفية	0
awn4-00012951-s	i58	s			يتعلّق بالأفكار أو يُوحي بها	0
awn4-00012993-r	i18217	r			يشير إلى احتمالية عالية؛ في جميع الاحتمالات	4
awn4-00013165-v	i21832	v			يفسد الأمر بالتصرف بحماقة أو خرقاء	1
awn4-00013179-a	i59	a			يمكن إدراكه بالحواس؛ ليس مجرداً أو خيالياً	1
awn4-00013241-r	i18218	r			بشكل شامل أو كامل؛ كلياً	7
awn4-00013321-v	i21833	v			ينخرط في نشاط كما لو كان لعبة بدلاً من أخذه بجدية	4
awn4-00013461-s	i60	s			ينتمي إلى التجربة المباشرة للأشياء أو الأحداث الفعليّة	0
awn4-00013554-r	i18219	r			بشكل ملائم؛ باستحسان	2
awn4-00013608-v	i21834	v			يتظاهر بامتلاك صفات أو حالة ذهنية معينة	2
awn4-00013681-s	i61	s			يمكن التعامل معه على أنّه حقيقة واقعة	0
awn4-00013698-r	i18220	r			بشكل غير ملائم أو باستنكار	2
awn4-00013851-v	i21835	v			يتصرف كتابع، بطريقة ممتثلة أو خاضعة	1
awn4-00013891-r	i18221	r			إلى حد أو درجة مناسبة أو ملائمة	3
awn4-00013906-a	i62	a			موجود بكمية كبيرة	1
awn4-00014027-v	i21836	v			تحرك بارتعاش أو ما شابه	1
awn4-00014088-r	i18222	r			في راحة مالية	2
awn4-00014194-v	i21837	v			اهتز، كما من البرد	1
awn4-00014255-r	i18223	r			بطريقة توفر فائدة أو ميزة	2
awn4-00014377-s	i63	s			موجود بكثرة ووَفْرة	0
awn4-00014398-v	i21838	v			كان في حالة راحة	0
awn4-00014476-r	i18224	r			بطريقة غير مفيدة؛ لضرر شخص ما	2
awn4-00014509-s	i64	s			يُوفِّر إمدادًا وافرًا وغزيرًا	0
awn4-00014542-v	i21839	v			كان في حالة عمل أو حركة	1
awn4-00014735-v	i21840	v			كان نائماً	0
awn4-00014747-r	i18225	r			إلى مدى أو درجة كبيرة	4
awn4-00014877-s	i65	s			كبير في العدد أو الكمّ، خاصّة في الكلام أو الكتابة	0
awn4-00015078-r	i18226	r			بمهارة أو بطريقة ممتعة	2
awn4-00015134-s	i66	s			يُحصَل عليه بقليل من الجهد أو التضحية، وأحيانًا بطرق غير مشروعة	0
awn4-00015156-v	i21841	v			نام بملابسه الكاملة في نفس السرير مع الخطيب (عادة قديمة)	0
awn4-00015200-r	i18227	r			بدون مهارة أو بطريقة غير ممتعة	2
awn4-00015284-s	i67	s			يُنتَج أو ينمو بوَفْرة بالغة	0
awn4-00015296-v	i21842	v			نام نوماً خفيفاً أو لفترة قصيرة	0
awn4-00015344-r	i18228	r			بحكمة أو لياقة	2
awn4-00015469-r	i18229	r			بمعرفة كبيرة أو حميمة بشكل خاص	1
awn4-00015491-v	i21843	v			نام لفترة قصيرة (قيلولة)	1
awn4-00015517-s	i68	s			مليء بالشيء؛ يحتوي على كمّيّة كبيرة منه	0
awn4-00015568-n	i35563	n			كائن حي يتميز بالحركة الإرادية	0
awn4-00015597-r	i18230	r			(تستخدم للتوكيد) كلياً أو بالكامل	3
awn4-00015626-s	i69	s			يزيد عن الحدّ الطبيعيّ أو اللازم	0
awn4-00015706-v	i21844	v			نام لفترة أطول مما كان ينوي	0
awn4-00015758-s	i70	s			وافر بشكل مفرط	0
awn4-00015799-v	i21845	v			نام حتى وقت متأخر أكثر من المعتاد	1
awn4-00015830-r	i18231	r			بطريقة مرضية	0
awn4-00015892-s	i71	s			موجود بأعداد أو كمّيّات كبيرة	0
awn4-00015933-r	i18232	r			بطريقة مرضية أو كافية	2
awn4-00015939-v	i21846	v			نام طوال الشتاء (للحيوانات)	1
awn4-00016043-s	i72	s			(عن النبات) ذو نموّ خصب وغير مُنضبِط	0
awn4-00016168-r	i18233	r			بطريقة غير مرضية	1
awn4-00016173-s	i73	s			ينمو بغزارة وكثافة	0
awn4-00016176-v	i21847	v			دخل في سبات خلال الصيف	1
awn4-00016285-s	i74	s			في أعلى درجات الوَفْرة والغزارة	0
awn4-00016322-r	i18234	r			بطريقة الأشخاص الميسورين	0
awn4-00016373-v	i21848	v			كان على وشك النوم	1
awn4-00016388-s	i75	s			مليء بالكائنات الحيّة خاصّة	0
awn4-00016415-r	i18235	r			لدرجة شديدة أو خطيرة	5
awn4-00016566-v	i21849	v			كان يغالب النعاس وتمايل رأسه	1
awn4-00016570-s	i76	s			ينهمر بغزارة شديدة	0
awn4-00016685-s	i77	s			يتّسم بوَفْرة الخُضْرة والنبات	0
awn4-00016695-v	i21850	v			ترك الرأس يسقط للأمام بسبب النعاس	1
awn4-00016702-r	i18236	r			كثيراً جداً؛ بقوة	4
awn4-00016794-a	i78	a			ناقص في الكمية أو العدد مقارنة بالطلب	1
awn4-00016848-v	i21851	v			ينام بسرعة، كما عندما يكون المرء متعباً للغاية	1
awn4-00016920-r	i18237	r			بكثافة كبيرة	4
awn4-00017024-v	i21852	v			التنفس بضوضاء أثناء النوم	1
awn4-00017062-s	i79	s			غير منتشر على نطاق واسع	0
awn4-00017140-r	i18238	r			بطريقة عاصية أو مشاغبة	3
awn4-00017224-s	i80	s			متأثّر بالنُّدرة ومُكلِف عند الاقتراض	0
awn4-00017275-v	i21853	v			ينتقل من حالة اليقظة إلى حالة النوم	1
awn4-00017390-a	i81	a			خاضع لمعاملة قاسية	1
awn4-00017402-n	i35564	n			(علم النبات) كائن حي يفتقر إلى القدرة على الانتقال الحركي	0
awn4-00017412-r	i18239	r			بشر أو خبث	2
awn4-00017524-v	i21854	v			الذهاب للنوم	1
awn4-00017539-r	i18240	r			بطريقة أقل فعالية أو نجاحاً أو رغبة	1
awn4-00017547-s	i82	s			يُظهِر أعراضًا ناتجة عن إيذاء بدنيّ ونفسيّ مُتكرِّر	0
awn4-00017667-v	i21855	v			النوم في مكان متاح	1
awn4-00017703-r	i18241	r			لأقصى درجة من الرداءة أو السوء	3
awn4-00017726-a	i83	a			لم يتعرض للإيذاء الجسدي؛ عومل بشكل لائق	0
awn4-00017820-a	i84	a			جدير بالقبول أو مرضٍ	2
awn4-00017858-v	i21856	v			الاستعداد للنوم	1
awn4-00017907-r	i18242	r			تستخدم للتوكيد خاصة للإشارة إلى شيء غير متوقع	3
awn4-00018101-r	i18243	r			لدرجة أو مدى أكبر؛ تستخدم مع المقارنات	4
awn4-00018107-s	i85	s			مقبول لدى البنك أو المصرف	0
awn4-00018151-v	i21857	v			قام وخرج من السرير	3
awn4-00018260-s	i86	s			مقبول تمامًا؛ لا يُمكن الاعتراض عليه أو انتقاده	0
awn4-00018343-r	i18244	r			في نفس الوقت الذي	2
awn4-00018398-v	i21858	v			تسبب في النهوض أو الاستيقاظ	1
awn4-00018473-s	i87	s			لا يُثير اعتراضًا	0
awn4-00018505-r	i18245	r			على الرغم من	2
awn4-00018519-v	i21859	v			توقف عن النوم	1
awn4-00018622-a	i88	a			غير مقبول؛ غير مرحب به	2
awn4-00018651-r	i18246	r			إلى أقصى حد	1
awn4-00018727-r	i18247	r			صيغة مختصرة لـ 'even'	0
awn4-00018764-r	i18248	r			إلى حد (كبير أو صغير) ما	6
awn4-00018806-v	i21860	v			تسبب في أن يصبح مستيقظًا أو واعيًا	2
awn4-00018888-s	i89	s			قابل للاعتراض أو النقاش؛ يمكن الطعن فيه	0
awn4-00019039-r	i18249	r			إلى أقصى حد؛ بالكامل	6
awn4-00019169-a	i90	a			قابل للوصول إليه	1
awn4-00019175-v	i21861	v			أيقظ مرة أخرى	0
awn4-00019226-n	i35565	n			نباتات وحيوانات أصلية	0
awn4-00019243-r	i18250	r			بدرجة ما (لا تستخدم مع النفي)	4
awn4-00019266-v	i21862	v			جعله ينام	1
awn4-00019308-n	i35566	n			جسم موجود في الطبيعة؛ ليس من صنع الإنسان	0
awn4-00019380-r	i18251	r			من نوع ملحوظ أو استثنائي أو مميز بشكل غير عادي (لا تستخدم مع النفي)	5
awn4-00019387-s	i91	s			يسهل الاقتراب منه أو الوصول إليه	0
awn4-00019441-v	i21863	v			تصرف جسديًا على؛ كان له تأثير على	1
awn4-00019543-s	i92	s			يُمكن بلوغه أو تحقيقه	0
awn4-00019643-r	i18252	r			في الواقع أو بصدق أو إلى حد أقصى	4
awn4-00019769-s	i93	s			سهل الوصول إليه وقريب	0
awn4-00019785-v	i21864	v			بدأ في إيذاء أو إتلاف	2
awn4-00019793-n	i35567	n			المادّة الفيزيائيّة الحقيقيّة التي يتكوّن منها شخص أو شيء	0
awn4-00019801-r	i18253	r			في جميع الأوقات؛ طوال الوقت وفي كل مناسبة	5
awn4-00019912-a	i94	a			لا يمكن الوصول إليه إلا بصعوبة كبيرة أو لا يمكن الوصول إليه إطلاقاً	0
awn4-00019975-v	i21865	v			أصاب بقرحة	1
awn4-00020071-r	i18254	r			إلى الأبد؛ عبر كل العصور	3
awn4-00020126-v	i21866	v			يكون مستيقظاً، يكون متيقظاً	0
awn4-00020141-s	i95	s			بعيد عن العمران وقليل السكّان	0
awn4-00020219-r	i18255	r			في أي وقت أو في أي حال	2
awn4-00020252-v	i21867	v			لا يذهب للنوم	2
awn4-00020270-n	i35568	n			نوع أو صنف معيَّن من المادّة ذو خصائص موحَّدة	0
awn4-00020278-s	i96	s			يفتقر إلى الممرّات والطرق المعبَّدة	0
awn4-00020362-r	i18256	r			(موسيقى) بقوة ونشاط	1
awn4-00020442-v	i21868	v			يمنع من الذهاب للنوم ليلاً	2
awn4-00020447-s	i97	s			يقع في مكان يتعذّر الوصول إليه	0
awn4-00020474-r	i18257	r			بطريقة تنطوي على أو تميل إلى التخمين والافتراض	0
awn4-00020597-r	i18258	r			بطريقة متتالية	1
awn4-00020664-v	i21869	v			أحدث تنويمًا مغناطيسيًا في	0
awn4-00020684-s	i98	s			صعب الوصول إليه أو بلوغه	0
awn4-00020735-r	i18259	r			بشكل ثابت لا يتغير	1
awn4-00020824-a	i99	a			مفيد في تحقيق التكيف المتناغم	2
awn4-00020919-v	i21870	v			وضع في غيبوبة أو حالة ذهول	0
awn4-00020931-r	i18260	r			بدون تنوع أو تغيير، في كل حالة	2
awn4-00021007-n	i35569	n			ما له كتلة ويشغل حيّزًا من الفراغ	0
awn4-00021058-v	i21871	v			إعطاء دواء مخدر لفقدان الإحساس	2
awn4-00021131-r	i18261	r			بطريقة مشتركة الحدود أو النهاية	0
awn4-00021147-s	i100	s			يُبدي استعدادًا سَمْحًا لتقديم خدمات للآخرين	0
awn4-00021214-r	i18262	r			على الإطلاق؛ بالتأكيد لا؛ ليس في أي ظرف؛ ليس في أي وقت مضى؛ في أي وقت في الماضي أو المستقبل	6
awn4-00021440-a	i101	a			غير متعاون أو غير مجامل	1
awn4-00021445-n	i35570	n			أيّ مادّة يمكن أن يستقلبها الحيوان للحصول على الطاقة وبناء الأنسجة	0
awn4-00021547-v	i21872	v			التخدير باستخدام مادة الأثير	0
awn4-00021629-s	i102	s			غير متعاون عَمْدًا	0
awn4-00021667-r	i18264	r			بشكل متقطع وغير متكرر	5
awn4-00021672-v	i21873	v			التخدير موضعياً باستخدام الكوكايين	0
