type	subtag	tag	preferredValue	suppressScript	macrolanguage	scope	deprecated	added	prefix	description
language	mbe							2009-07-29		Molale
language	mbf							2009-07-29		Baba Malay
language	mbh							2009-07-29		Mangseng
language	mbi							2009-07-29		Ilianen Manobo
language	mbj							2009-07-29		Nadëb
language	mbk							2009-07-29		Malol
language	mbl							2009-07-29		Maxakalí
language	mbm							2009-07-29		Ombamba
language	mbn							2009-07-29		Macaguán
language	mbo							2009-07-29		Mbo (Cameroon)
language	mbp							2009-07-29		Malayo
language	mbq							2009-07-29		Maisin
language	mbr							2009-07-29		Nukak Makú
language	mbs							2009-07-29		Sarangani Manobo
language	mbt							2009-07-29		Matigsalug Manobo
language	mbu							2009-07-29		Mbula-Bwazza
language	mbv							2009-07-29		Mbulungish
language	mbw							2009-07-29		Maring
language	mbx							2009-07-29		Mari (East Sepik Province)
language	mby							2009-07-29		Memoni
language	mbz							2009-07-29		Amoltepec Mixtec
language	mca							2009-07-29		Maca
language	mcb							2009-07-29		Machiguenga
language	mcc							2009-07-29		Bitur
language	mcd							2009-07-29		Sharanahua
language	mce							2009-07-29		Itundujia Mixtec
language	mcf							2009-07-29		Matsés
language	mcg							2009-07-29		Mapoyo
language	mch							2009-07-29		Maquiritari
language	mci							2009-07-29		Mese
language	mcj							2009-07-29		Mvanip
language	mck							2009-07-29		Mbunda
language	mcl							2009-07-29		Macaguaje
language	mcm							2009-07-29		Malaccan Creole Portuguese
language	mcn							2009-07-29		Masana
language	mco							2009-07-29		Coatlán Mixe
language	mcp							2009-07-29		Makaa
language	mcq							2009-07-29		Ese
language	mcr							2009-07-29		Menya
language	mcs							2009-07-29		Mambai
language	mct							2009-07-29		Mengisa
language	mcu							2009-07-29		Cameroon Mambila
language	mcv							2009-07-29		Minanibai
language	mcw							2009-07-29		Mawa (Chad)
language	mcx							2009-07-29		Mpiemo
language	mcy							2009-07-29		South Watut
language	mcz							2009-07-29		Mawan
language	mda							2009-07-29		Mada (Nigeria)
language	mdb							2009-07-29		Morigi
language	mdc							2009-07-29		Soq | Male (Papua New Guinea)
language	mdd							2009-07-29		Mbum
language	mde							2009-07-29		Maba (Chad)
language	mdf							2005-10-16		Moksha
language	mdg							2009-07-29		Massalat
language	mdh							2009-07-29		Maguindanaon
language	mdi							2009-07-29		Mamvu
language	mdj							2009-07-29		Mangbetu
language	mdk							2009-07-29		Mangbutu
language	mdl							2009-07-29		Maltese Sign Language
language	mdm							2009-07-29		Mayogo
language	mdn							2009-07-29		Mbati
language	mdp							2009-07-29		Mbala
language	mdq							2009-07-29		Mbole
language	mdr							2005-10-16		Mandar
language	mds							2009-07-29		Maria (Papua New Guinea)
language	mdt							2009-07-29		Mbere
language	mdu							2009-07-29		Mboko
language	mdv							2009-07-29		Santa Lucía Monteverde Mixtec
language	mdw							2009-07-29		Mbosi
language	mdx							2009-07-29		Dizin
language	mdy							2009-07-29		Male | Male (Ethiopia)
language	mdz							2009-07-29		Suruí Do Pará
language	mea							2009-07-29		Menka
language	meb							2009-07-29		Ikobi
language	mec							2009-07-29		Marra
language	med							2009-07-29		Melpa
language	mee							2009-07-29		Mengen
language	mef							2009-07-29		Megam
language	meg		cir				2013-09-10	2009-07-29		Mea
language	meh							2009-07-29		Southwestern Tlaxiaco Mixtec
language	mei							2009-07-29		Midob
language	mej							2009-07-29		Meyah
language	mek							2009-07-29		Mekeo
language	mel							2009-07-29		Central Melanau
language	mem							2009-07-29		Mangala
language	men			Latn				2005-10-16		Mende (Sierra Leone)
language	meo				ms			2009-07-29		Kedah Malay
language	mep							2009-07-29		Miriwoong
language	meq							2009-07-29		Merey
language	mer							2009-07-29		Meru
language	mes							2009-07-29		Masmaje
language	met							2009-07-29		Mato
language	meu							2009-07-29		Motu
language	mev							2009-07-29		Mano
language	mew							2009-07-29		Maaka
language	mey							2009-07-29		Hassaniyya
language	mez							2009-07-29		Menominee
language	mfa				ms			2009-07-29		Pattani Malay
language	mfb				ms			2009-07-29		Bangka
language	mfc							2009-07-29		Mba
language	mfd							2009-07-29		Mendankwe-Nkwen
language	mfe							2009-07-29		Morisyen
language	mff							2009-07-29		Naki
language	mfg							2009-07-29		Mogofin
language	mfh							2009-07-29		Matal
language	mfi							2009-07-29		Wandala
language	mfj							2009-07-29		Mefele
language	mfk							2009-07-29		North Mofu
language	mfl							2009-07-29		Putai
language	mfm							2009-07-29		Marghi South
language	mfn							2009-07-29		Cross River Mbembe
language	mfo							2009-07-29		Mbe
language	mfp							2009-07-29		Makassar Malay
language	mfq							2009-07-29		Moba
language	mfr							2009-07-29		Marrithiyel
language	mfs							2009-07-29		Mexican Sign Language
language	mft							2009-07-29		Mokerang
language	mfu							2009-07-29		Mbwela
language	mfv							2009-07-29		Mandjak
language	mfw							2009-07-29		Mulaha
language	mfx							2009-07-29		Melo
language	mfy							2009-07-29		Mayo
language	mfz							2009-07-29		Mabaan
language	mg			Latn		macrolanguage		2005-10-16		Malagasy
language	mga							2005-10-16		Middle Irish (900-1200)
language	mgb							2009-07-29		Mararit
language	mgc							2009-07-29		Morokodo
language	mgd							2009-07-29		Moru
language	mge							2009-07-29		Mango
language	mgf							2009-07-29		Maklew
language	mgg							2009-07-29		Mpumpong
language	mgh							2009-07-29		Makhuwa-Meetto
language	mgi							2009-07-29		Lijili
language	mgj							2009-07-29		Abureni
language	mgk							2009-07-29		Mawes
language	mgl							2009-07-29		Maleu-Kilenge
language	mgm							2009-07-29		Mambae
language	mgn							2009-07-29		Mbangi
language	mgo							2009-07-29		Meta'
language	mgp							2009-07-29		Eastern Magar
language	mgq							2009-07-29		Malila
language	mgr							2009-07-29		Mambwe-Lungu
language	mgs							2009-07-29		Manda (Tanzania)
language	mgt							2009-07-29		Mongol
language	mgu							2009-07-29		Mailu
language	mgv							2009-07-29		Matengo
language	mgw							2009-07-29		Matumbi
language	mgx						2012-08-12	2009-07-29		Omati
language	mgy							2009-07-29		Mbunga
language	mgz							2009-07-29		Mbugwe
language	mh			Latn				2005-10-16		Marshallese
language	mha							2009-07-29		Manda (India)
language	mhb							2009-07-29		Mahongwe
language	mhc							2009-07-29		Mocho
language	mhd							2009-07-29		Mbugu
language	mhe							2009-07-29		Besisi | Mah Meri
language	mhf							2009-07-29		Mamaa
language	mhg							2009-07-29		Margu
language	mhh						2014-02-28	2009-07-29		Maskoy Pidgin
language	mhi							2009-07-29		Ma'di
language	mhj							2009-07-29		Mogholi
language	mhk							2009-07-29		Mungaka
language	mhl							2009-07-29		Mauwake
language	mhm							2009-07-29		Makhuwa-Moniga
language	mhn							2009-07-29		Mòcheno
language	mho							2009-07-29		Mashi (Zambia)
language	mhp							2009-07-29		Balinese Malay
language	mhq							2009-07-29		Mandan
language	mhr				chm			2009-07-29		Eastern Mari
language	mhs							2009-07-29		Buru (Indonesia)
language	mht							2009-07-29		Mandahuaca
language	mhu							2009-07-29		Digaro-Mishmi | Darang Deng
language	mhw							2009-07-29		Mbukushu
language	mhx							2009-07-29		Maru | Lhaovo
language	mhy							2009-07-29		Ma'anyan
language	mhz							2009-07-29		Mor (Mor Islands)
language	mi							2005-10-16		Maori
language	mia							2009-07-29		Miami
language	mib							2009-07-29		Atatláhuca Mixtec
language	mic							2005-10-16		Mi'kmaq | Micmac
language	mid							2009-07-29		Mandaic
language	mie							2009-07-29		Ocotepec Mixtec
language	mif							2009-07-29		Mofu-Gudur
language	mig							2009-07-29		San Miguel El Grande Mixtec
language	mih							2009-07-29		Chayuco Mixtec
language	mii							2009-07-29		Chigmecatitlán Mixtec
language	mij							2009-07-29		Abar | Mungbam
language	mik							2009-07-29		Mikasuki
language	mil							2009-07-29		Peñoles Mixtec
language	mim							2009-07-29		Alacatlatzala Mixtec
language	min				ms			2005-10-16		Minangkabau
language	mio							2009-07-29		Pinotepa Nacional Mixtec
language	mip							2009-07-29		Apasco-Apoala Mixtec
language	miq							2009-07-29		Mískito
language	mir							2009-07-29		Isthmus Mixe
language	mis					special		2005-10-16		Uncoded languages
language	mit							2009-07-29		Southern Puebla Mixtec
language	miu							2009-07-29		Cacaloxtepec Mixtec
language	miw							2009-07-29		Akoye
language	mix							2009-07-29		Mixtepec Mixtec
language	miy							2009-07-29		Ayutla Mixtec
language	miz							2009-07-29		Coatzospan Mixtec
language	mja						2011-08-16	2009-07-29		Mahei
language	mjb							2016-05-30		Makalero
language	mjc							2009-07-29		San Juan Colorado Mixtec
language	mjd							2009-07-29		Northwest Maidu
language	mje							2009-07-29		Muskum
language	mjg							2009-07-29		Tu
language	mjh							2009-07-29		Mwera (Nyasa)
language	mji							2009-07-29		Kim Mun
language	mjj							2009-07-29		Mawak
language	mjk							2009-07-29		Matukar
language	mjl							2009-07-29		Mandeali
language	mjm							2009-07-29		Medebur
language	mjn							2009-07-29		Ma (Papua New Guinea)
language	mjo							2009-07-29		Malankuravan
language	mjp							2009-07-29		Malapandaram
language	mjq							2009-07-29		Malaryan
language	mjr							2009-07-29		Malavedan
language	mjs							2009-07-29		Miship
language	mjt							2009-07-29		Sauria Paharia
language	mju							2009-07-29		Manna-Dora
language	mjv							2009-07-29		Mannan
language	mjw							2009-07-29		Karbi
language	mjx							2009-07-29		Mahali
language	mjy							2009-07-29		Mahican
language	mjz							2009-07-29		Majhi
language	mk			Cyrl				2005-10-16		Macedonian
language	mka							2009-07-29		Mbre
language	mkb							2009-07-29		Mal Paharia
language	mkc							2009-07-29		Siliput
language	mke							2009-07-29		Mawchi
language	mkf							2009-07-29		Miya
language	mkg							2009-07-29		Mak (China)
language	mkh					collection		2005-10-16		Mon-Khmer languages
language	mki							2009-07-29		Dhatki
language	mkj							2009-07-29		Mokilese
language	mkk							2009-07-29		Byep
language	mkl							2009-07-29		Mokole
language	mkm							2009-07-29		Moklen
language	mkn							2009-07-29		Kupang Malay
language	mko							2009-07-29		Mingang Doso
language	mkp							2009-07-29		Moikodi
language	mkq							2009-07-29		Bay Miwok
language	mkr							2009-07-29		Malas
language	mks							2009-07-29		Silacayoapan Mixtec
language	mkt							2009-07-29		Vamale
language	mku				man			2009-07-29		Konyanka Maninka
language	mkv							2009-07-29		Mafea
language	mkw							2009-07-29		Kituba (Congo)
language	mkx							2009-07-29		Kinamiging Manobo
language	mky							2009-07-29		East Makian
language	mkz							2009-07-29		Makasae
language	ml			Mlym				2005-10-16		Malayalam
language	mla							2009-07-29		Malo
language	mlb							2009-07-29		Mbule
language	mlc							2009-07-29		Cao Lan
language	mld						2013-09-10	2009-07-29		Malakhel
language	mle							2009-07-29		Manambu
language	mlf							2009-07-29		Mal
language	mlh							2009-07-29		Mape
language	mli							2009-07-29		Malimpung
language	mlj							2009-07-29		Miltu
language	mlk							2009-07-29		Ilwana | Kiwilwana
language	mll							2009-07-29		Malua Bay
language	mlm							2009-07-29		Mulam
language	mln							2009-07-29		Malango
language	mlo							2009-07-29		Mlomp
language	mlp							2009-07-29		Bargam
language	mlq				man			2009-07-29		Western Maninkakan
language	mlr							2009-07-29		Vame
language	mls							2009-07-29		Masalit
language	mlu							2009-07-29		To'abaita
language	mlv							2009-07-29		Motlav | Mwotlap
language	mlw							2009-07-29		Moloko
language	mlx							2009-07-29		Malfaxal | Naha'ai
language	mlz							2009-07-29		Malaynon
language	mma							2009-07-29		Mama
language	mmb							2009-07-29		Momina
language	mmc							2009-07-29		Michoacán Mazahua
language	mmd							2009-07-29		Maonan
language	mme							2009-07-29		Mae
language	mmf							2009-07-29		Mundat
language	mmg							2009-07-29		North Ambrym
language	mmh							2009-07-29		Mehináku
language	mmi							2009-07-29		Hember Avu | Amben | Musar
language	mmj							2009-07-29		Majhwar
language	mmk							2009-07-29		Mukha-Dora
language	mml							2009-07-29		Man Met
language	mmm							2009-07-29		Maii
language	mmn							2009-07-29		Mamanwa
language	mmo							2009-07-29		Mangga Buang
language	mmp							2009-07-29		Siawi
language	mmq							2009-07-29		Musak
language	mmr				hmn			2009-07-29		Western Xiangxi Miao
language	mmt							2009-07-29		Malalamai
language	mmu							2009-07-29		Mmaala
language	mmv							2009-07-29		Miriti
language	mmw							2009-07-29		Emae
language	mmx							2009-07-29		Madak
language	mmy							2009-07-29		Migaama
language	mmz							2009-07-29		Mabaale
language	mn					macrolanguage		2005-10-16		Mongolian
language	mna							2009-07-29		Mbula
language	mnb							2009-07-29		Muna
language	mnc							2005-10-16		Manchu
language	mnd							2009-07-29		Mondé
language	mne							2009-07-29		Naba
language	mnf							2009-07-29		Mundani
language	mng							2009-07-29		Eastern Mnong
language	mnh							2009-07-29		Mono (Democratic Republic of Congo)
language	mni							2005-10-16		Manipuri
language	mnj							2009-07-29		Munji
language	mnk				man			2009-07-29		Mandinka
language	mnl							2009-07-29		Tiale
language	mnm							2009-07-29		Mapena
language	mnn							2009-07-29		Southern Mnong
language	mno					collection		2005-10-16		Manobo languages
language	mnp				zh			2009-07-29		Min Bei Chinese
language	mnq							2009-07-29		Minriq
language	mnr							2009-07-29		Mono (USA)
language	mns							2009-07-29		Mansi
language	mnt						2013-09-10	2009-07-29		Maykulan
language	mnu							2009-07-29		Mer
language	mnv							2009-07-29		Rennell-Bellona
language	mnw							2009-07-29		Mon
language	mnx							2009-07-29		Manikion
language	mny							2009-07-29		Manyawa
language	mnz							2009-07-29		Moni
language	mo		ro	Latn			2008-11-22	2005-10-16		Moldavian | Moldovan
language	moa							2009-07-29		Mwan
language	moc							2009-07-29		Mocoví
language	mod							2009-07-29		Mobilian
language	moe							2009-07-29		Innu | Montagnais
language	mof						2010-03-11	2009-07-29		Mohegan-Montauk-Narragansett
language	mog							2009-07-29		Mongondow
language	moh							2005-10-16		Mohawk | Kanien'kéha
language	moi							2009-07-29		Mboi
language	moj							2009-07-29		Monzombo
language	mok							2009-07-29		Morori
language	mom							2009-07-29		Mangue
language	moo							2009-07-29		Monom
language	mop							2009-07-29		Mopán Maya
language	moq							2009-07-29		Mor (Bomberai Peninsula)
language	mor							2009-07-29		Moro
language	mos							2005-10-16		Mossi
language	mot							2009-07-29		Barí
language	mou							2009-07-29		Mogum
language	mov							2009-07-29		Mohave
language	mow							2009-07-29		Moi (Congo)
language	mox							2009-07-29		Molima
language	moy							2009-07-29		Shekkacho
language	moz							2009-07-29		Mukulu | Gergiko
language	mpa							2009-07-29		Mpoto
language	mpb							2009-07-29		Malak Malak | Mullukmulluk
language	mpc							2009-07-29		Mangarrayi
language	mpd							2009-07-29		Machinere
language	mpe							2009-07-29		Majang
language	mpg							2009-07-29		Marba
language	mph							2009-07-29		Maung
language	mpi							2009-07-29		Mpade
language	mpj							2009-07-29		Martu Wangka | Wangkajunga
language	mpk							2009-07-29		Mbara (Chad)
language	mpl							2009-07-29		Middle Watut
language	mpm							2009-07-29		Yosondúa Mixtec
language	mpn							2009-07-29		Mindiri
language	mpo							2009-07-29		Miu
language	mpp							2009-07-29		Migabac
language	mpq							2009-07-29		Matís
language	mpr							2009-07-29		Vangunu
language	mps							2009-07-29		Dadibi
language	mpt							2009-07-29		Mian
language	mpu							2009-07-29		Makuráp
language	mpv							2009-07-29		Mungkip
language	mpw							2009-07-29		Mapidian
language	mpx							2009-07-29		Misima-Panaeati
language	mpy							2009-07-29		Mapia
language	mpz							2009-07-29		Mpi
language	mqa							2009-07-29		Maba (Indonesia)
language	mqb							2009-07-29		Mbuko
language	mqc							2009-07-29		Mangole
language	mqe							2009-07-29		Matepi
language	mqf							2009-07-29		Momuna
language	mqg				ms			2009-07-29		Kota Bangun Kutai Malay
language	mqh							2009-07-29		Tlazoyaltepec Mixtec
language	mqi							2009-07-29		Mariri
language	mqj							2009-07-29		Mamasa
language	mqk							2009-07-29		Rajah Kabunsuwan Manobo
language	mql							2009-07-29		Mbelime
language	mqm							2009-07-29		South Marquesan
language	mqn							2009-07-29		Moronene
language	mqo							2009-07-29		Modole
language	mqp							2009-07-29		Manipa
language	mqq							2009-07-29		Minokok
language	mqr							2009-07-29		Mander
language	mqs							2009-07-29		West Makian
language	mqt							2009-07-29		Mok
language	mqu							2009-07-29		Mandari
language	mqv							2009-07-29		Mosimo
language	mqw							2009-07-29		Murupi
language	mqx							2009-07-29		Mamuju
language	mqy							2009-07-29		Manggarai
language	mqz							2009-07-29		Pano
language	mr			Deva				2005-10-16		Marathi
language	mra							2009-07-29		Mlabri
language	mrb							2009-07-29		Marino
language	mrc							2009-07-29		Maricopa
language	mrd							2009-07-29		Western Magar
language	mre							2009-07-29		Martha's Vineyard Sign Language
language	mrf							2009-07-29		Elseng
language	mrg							2009-07-29		Mising
language	mrh							2009-07-29		Mara Chin
language	mrj				chm			2009-07-29		Western Mari
language	mrk							2009-07-29		Hmwaveke
language	mrl							2009-07-29		Mortlockese
language	mrm							2009-07-29		Merlav | Mwerlap
language	mrn							2009-07-29		Cheke Holo
language	mro							2009-07-29		Mru
language	mrp							2009-07-29		Morouas
language	mrq							2009-07-29		North Marquesan
language	mrr							2009-07-29		Maria (India)
language	mrs							2009-07-29		Maragus
language	mrt							2009-07-29		Marghi Central
language	mru							2009-07-29		Mono (Cameroon)
language	mrv							2009-07-29		Mangareva
language	mrw							2009-07-29		Maranao
language	mrx							2009-07-29		Maremgi | Dineor
language	mry							2009-07-29		Mandaya
language	mrz							2009-07-29		Marind
language	ms			Latn		macrolanguage		2005-10-16		Malay (macrolanguage)
language	msb							2009-07-29		Masbatenyo
language	msc				man			2009-07-29		Sankaran Maninka
language	msd							2009-07-29		Yucatec Maya Sign Language
language	mse							2009-07-29		Musey
language	msf							2009-07-29		Mekwei
language	msg							2009-07-29		Moraid
language	msh				mg			2009-07-29		Masikoro Malagasy
language	msi				ms			2009-07-29		Sabah Malay
language	msj							2009-07-29		Ma (Democratic Republic of Congo)
language	msk							2009-07-29		Mansaka
language	msl							2009-07-29		Molof | Poule
language	msm							2009-07-29		Agusan Manobo
language	msn							2009-07-29		Vurës
language	mso							2009-07-29		Mombum
language	msp							2009-07-29		Maritsauá
language	msq							2009-07-29		Caac
language	msr							2009-07-29		Mongolian Sign Language
language	mss							2009-07-29		West Masela
language	mst		mry				2010-03-11	2009-07-29		Cataelano Mandaya
language	msu							2009-07-29		Musom
language	msv							2009-07-29		Maslam
language	msw							2009-07-29		Mansoanka
language	msx							2009-07-29		Moresada
language	msy							2009-07-29		Aruamu
language	msz							2009-07-29		Momare
language	mt			Latn				2005-10-16		Maltese
language	mta							2009-07-29		Cotabato Manobo
language	mtb							2009-07-29		Anyin Morofo
language	mtc							2009-07-29		Munit
language	mtd							2009-07-29		Mualang
language	mte							2009-07-29		Mono (Solomon Islands)
language	mtf							2009-07-29		Murik (Papua New Guinea)
language	mtg							2009-07-29		Una
language	mth							2009-07-29		Munggui
language	mti							2009-07-29		Maiwa (Papua New Guinea)
language	mtj							2009-07-29		Moskona
language	mtk							2009-07-29		Mbe'
language	mtl							2009-07-29		Montol
language	mtm							2009-07-29		Mator
language	mtn							2009-07-29		Matagalpa
language	mto							2009-07-29		Totontepec Mixe
language	mtp							2009-07-29		Wichí Lhamtés Nocten
language	mtq							2009-07-29		Muong
language	mtr				mwr			2009-07-29		Mewari
language	mts							2009-07-29		Yora
language	mtt							2009-07-29		Mota
language	mtu							2009-07-29		Tututepec Mixtec
language	mtv							2009-07-29		Asaro'o
language	mtw							2009-07-29		Southern Binukidnon
language	mtx							2009-07-29		Tidaá Mixtec
language	mty							2009-07-29		Nabi
language	mua							2009-07-29		Mundang
language	mub							2009-07-29		Mubi
language	muc							2009-07-29		Ajumbu
language	mud							2009-07-29		Mednyj Aleut
language	mue							2009-07-29		Media Lengua
language	mug							2009-07-29		Musgu
language	muh							2009-07-29		Mündü
language	mui				ms			2009-07-29		Musi
language	muj							2009-07-29		Mabire
language	muk							2009-07-29		Mugom
language	mul					special		2005-10-16		Multiple languages
language	mum							2009-07-29		Maiwala
language	mun					collection		2005-10-16		Munda languages
language	muo							2009-07-29		Nyong
language	mup				raj			2009-07-29		Malvi
language	muq				hmn			2009-07-29		Eastern Xiangxi Miao
language	mur							2009-07-29		Murle
language	mus							2005-10-16		Creek
language	mut							2009-07-29		Western Muria
language	muu							2009-07-29		Yaaku
language	muv							2009-07-29		Muthuvan
language	mux							2009-07-29		Bo-Ung
language	muy							2009-07-29		Muyang
language	muz							2009-07-29		Mursi
language	mva							2009-07-29		Manam
language	mvb							2009-07-29		Mattole
language	mvd							2009-07-29		Mamboru
language	mve				mwr			2009-07-29		Marwari (Pakistan)
language	mvf				mn			2009-07-29		Peripheral Mongolian
language	mvg							2009-07-29		Yucuañe Mixtec
language	mvh							2009-07-29		Mulgi
language	mvi							2009-07-29		Miyako
language	mvk							2009-07-29		Mekmek
language	mvl							2009-07-29		Mbara (Australia)
language	mvm						2021-02-20	2009-07-29		Muya
language	mvn							2009-07-29		Minaveha
language	mvo							2009-07-29		Marovo
language	mvp							2009-07-29		Duri
language	mvq							2009-07-29		Moere
language	mvr							2009-07-29		Marau
language	mvs							2009-07-29		Massep
language	mvt							2009-07-29		Mpotovoro
language	mvu							2009-07-29		Marfa
language	mvv							2009-07-29		Tagal Murut
language	mvw							2009-07-29		Machinga
language	mvx							2009-07-29		Meoswar
language	mvy							2009-07-29		Indus Kohistani
language	mvz							2009-07-29		Mesqan
language	mwa							2009-07-29		Mwatebu
language	mwb							2009-07-29		Juwal
language	mwc							2009-07-29		Are
language	mwd						2013-09-10	2009-07-29		Mudbura
language	mwe							2009-07-29		Mwera (Chimwera)
language	mwf							2009-07-29		Murrinh-Patha
language	mwg							2009-07-29		Aiklep
language	mwh							2009-07-29		Mouk-Aria
language	mwi							2009-07-29		Labo | Ninde
language	mwj		vaj				2015-02-12	2009-07-29		Maligo
language	mwk				man			2009-07-29		Kita Maninkakan
language	mwl							2005-10-16		Mirandese
language	mwm							2009-07-29		Sar
language	mwn							2009-07-29		Nyamwanga
language	mwo							2009-07-29		Central Maewo
language	mwp							2009-07-29		Kala Lagaw Ya
language	mwq							2009-07-29		Mün Chin
language	mwr					macrolanguage		2005-10-16		Marwari
language	mws							2009-07-29		Mwimbi-Muthambi
language	mwt							2009-07-29		Moken
language	mwu							2009-07-29		Mittu
language	mwv							2009-07-29		Mentawai
language	mww				hmn			2009-07-29		Hmong Daw
language	mwx						2018-03-08	2009-07-29		Mediak
language	mwy						2018-03-08	2009-07-29		Mosiro
language	mwz							2009-07-29		Moingi
language	mxa							2009-07-29		Northwest Oaxaca Mixtec
language	mxb							2009-07-29		Tezoatlán Mixtec
language	mxc							2009-07-29		Manyika
language	mxd							2009-07-29		Modang
language	mxe							2009-07-29		Mele-Fila
language	mxf							2009-07-29		Malgbe
language	mxg							2009-07-29		Mbangala
language	mxh							2009-07-29		Mvuba
language	mxi							2009-07-29		Mozarabic
language	mxj							2009-07-29		Miju-Mishmi | Geman Deng
language	mxk							2009-07-29		Monumbo
language	mxl							2009-07-29		Maxi Gbe
language	mxm							2009-07-29		Meramera
language	mxn							2009-07-29		Moi (Indonesia)
language	mxo							2009-07-29		Mbowe
language	mxp							2009-07-29		Tlahuitoltepec Mixe
language	mxq							2009-07-29		Juquila Mixe
language	mxr							2009-07-29		Murik (Malaysia)
language	mxs							2009-07-29		Huitepec Mixtec
language	mxt							2009-07-29		Jamiltepec Mixtec
language	mxu							2009-07-29		Mada (Cameroon)
language	mxv							2009-07-29		Metlatónoc Mixtec
language	mxw							2009-07-29		Namo
language	mxx							2009-07-29		Mahou | Mawukakan
language	mxy							2009-07-29		Southeastern Nochixtlán Mixtec
language	mxz							2009-07-29		Central Masela
language	my			Mymr				2005-10-16		Burmese
language	myb							2009-07-29		Mbay
language	myc							2009-07-29		Mayeka
language	myd		aog				2019-04-16	2009-07-29		Maramba
language	mye							2009-07-29		Myene
language	myf							2009-07-29		Bambassi
language	myg							2009-07-29		Manta
language	myh							2009-07-29		Makah
language	myi						2019-04-16	2009-07-29		Mina (India)
language	myj							2009-07-29		Mangayat
language	myk							2009-07-29		Mamara Senoufo
language	myl							2009-07-29		Moma
language	mym							2009-07-29		Me'en
language	myn					collection		2005-10-16		Mayan languages
language	myo							2009-07-29		Anfillo
language	myp							2009-07-29		Pirahã
language	myq				man		2013-09-10	2009-07-29		Forest Maninka
language	myr							2009-07-29		Muniche
language	mys							2009-07-29		Mesmes
language	myt		mry				2010-03-11	2009-07-29		Sangab Mandaya
language	myu							2009-07-29		Mundurukú
language	myv							2005-10-16		Erzya
language	myw							2009-07-29		Muyuw
language	myx							2009-07-29		Masaaba
language	myy							2009-07-29		Macuna
language	myz							2009-07-29		Classical Mandaic
language	mza							2009-07-29		Santa María Zacatepec Mixtec
language	mzb							2009-07-29		Tumzabt
language	mzc							2009-07-29		Madagascar Sign Language
language	mzd							2009-07-29		Malimba
language	mze							2009-07-29		Morawa
language	mzg							2009-07-29		Monastic Sign Language
language	mzh							2009-07-29		Wichí Lhamtés Güisnay
language	mzi							2009-07-29		Ixcatlán Mazatec
language	mzj							2009-07-29		Manya
language	mzk							2009-07-29		Nigeria Mambila
language	mzl							2009-07-29		Mazatlán Mixe
language	mzm							2009-07-29		Mumuye
language	mzn							2009-07-29		Mazanderani
language	mzo							2009-07-29		Matipuhy
language	mzp							2009-07-29		Movima
language	mzq							2009-07-29		Mori Atas
language	mzr							2009-07-29		Marúbo
language	mzs							2009-07-29		Macanese
language	mzt							2009-07-29		Mintil
language	mzu							2009-07-29		Inapang
language	mzv							2009-07-29		Manza
language	mzw							2009-07-29		Deg
language	mzx							2009-07-29		Mawayana
language	mzy							2009-07-29		Mozambican Sign Language
language	mzz							2009-07-29		Maiadomu
language	na			Latn				2005-10-16		Nauru
language	naa							2009-07-29		Namla
language	nab							2009-07-29		Southern Nambikuára
language	nac							2009-07-29		Narak
language	nad		xny				2016-05-30	2009-07-29		Nijadali
language	nae							2009-07-29		Naka'ela
language	naf							2009-07-29		Nabak
language	nag							2009-07-29		Naga Pidgin
language	nah					collection		2005-10-16		Nahuatl languages
language	nai					collection		2005-10-16		North American Indian languages
language	naj							2009-07-29		Nalu
language	nak							2009-07-29		Nakanai
language	nal							2009-07-29		Nalik
language	nam							2009-07-29		Ngan'gityemerri
language	nan				zh			2009-07-29		Min Nan Chinese
language	nao							2009-07-29		Naaba
language	nap							2005-10-16		Neapolitan
language	naq							2009-07-29		Khoekhoe | Nama (Namibia)
language	nar							2009-07-29		Iguta
language	nas							2009-07-29		Naasioi
language	nat							2009-07-29		Ca̱hungwa̱rya̱ | Hungworo
language	naw							2009-07-29		Nawuri
language	nax							2009-07-29		Nakwi
language	nay							2009-07-29		Ngarrindjeri
language	naz							2009-07-29		Coatepec Nahuatl
language	nb			Latn	no			2005-10-16		Norwegian Bokmål
language	nba							2009-07-29		Nyemba
language	nbb							2009-07-29		Ndoe
language	nbc							2009-07-29		Chang Naga
language	nbd							2009-07-29		Ngbinda
language	nbe							2009-07-29		Konyak Naga
language	nbf						2011-08-16	2009-07-29		Naxi
language	nbg							2009-07-29		Nagarchal
language	nbh							2009-07-29		Ngamo
language	nbi							2009-07-29		Mao Naga
language	nbj							2009-07-29		Ngarinyman
language	nbk							2009-07-29		Nake
language	nbm							2009-07-29		Ngbaka Ma'bo
language	nbn							2009-07-29		Kuri
language	nbo							2009-07-29		Nkukoli
language	nbp							2009-07-29		Nnam
language	nbq							2009-07-29		Nggem
language	nbr							2009-07-29		Numana
language	nbs							2009-07-29		Namibian Sign Language
language	nbt							2009-07-29		Na
language	nbu							2009-07-29		Rongmei Naga
language	nbv							2009-07-29		Ngamambo
language	nbw							2009-07-29		Southern Ngbandi
language	nbx						2013-09-10	2009-07-29		Ngura
language	nby							2009-07-29		Ningera
language	nca							2009-07-29		Iyo
language	ncb							2009-07-29		Central Nicobarese
language	ncc							2009-07-29		Ponam
language	ncd							2009-07-29		Nachering
language	nce							2009-07-29		Yale
language	ncf							2009-07-29		Notsi
language	ncg							2009-07-29		Nisga'a
