entryId	lemma	partOfSpeech
oewn-a_hundred_times-r	a hundred times	r
oewn-a_la_carte-a	a la carte	a
oewn-a_la_carte-n	a la carte	n
oewn-a_la_carte-r	a la carte	r
oewn-a_la_mode-a	a la mode	a
oewn-a_la_mode-r	a la mode	r
oewn-A_level-n	A level	n
oewn-a_little-r	a little	r
oewn-a_lot-r		
oewn-a_million_times-r	a million times	r
oewn-a_posteriori-a	a posteriori	a
oewn-a_posteriori-r	a posteriori	r
oewn-a_priori-a	a priori	a
oewn-a_priori-r	a priori	r
oewn-a_trifle-r	a trifle	r
oewn-A-ap-man-n	A'man	n
oewn-A-bomb-n	A-bomb	n
oewn-A-line-n	A-line	n
oewn-A-list-n	A-list	n
oewn-a-n		
oewn-A-n		
oewn-a-ok-a	a-ok	a
oewn-a-okay-a	a-okay	a
oewn-A-one-a	A-one	a
oewn-A-scan_ultrasonography-n	A-scan ultrasonography	n
oewn-A-sl-C-n	A/C	n
oewn-A-team-n	A-team	n
oewn-A._testudineus-n	A. testudineus	n
oewn-A.D.-r	A.D.	r
oewn-a.k.a.-r	a.k.a.	r
oewn-a.m.-n	a.m.	n
oewn-A.M.-n	A.M.	n
oewn-a.m.-r	a.m.	r
oewn-A.M.-r	A.M.	r
oewn-A0-n	A0	n
oewn-A1-n	A1	n
oewn-A2-n	A2	n
oewn-A4-n	A4	n
oewn-A5-n	A5	n
oewn-A6-n	A6	n
oewn-aa-n		
oewn-AA-n		
oewn-AAA-n	AAA	n
oewn-AAC-n	AAC	n
oewn-aah-v	aah	v
oewn-aalii-n		
oewn-aardvark-n		
oewn-aardwolf-n		
oewn-Aaron-ap-s_rod-n		
oewn-AARP-n	AARP	n
oewn-AAS-n	AAS	n
oewn-AAVE-n	AAVE	n
oewn-ab_initio-r		
oewn-ab-n		
oewn-Ab-n		
oewn-AB-n		
oewn-ABA_transit_number-n	ABA transit number	n
oewn-aba-n		
oewn-abaca-n		
oewn-abacinate-v		
oewn-aback-r	aback	r
oewn-abactinal-a		
oewn-abacus-n		
oewn-abaft-r		
oewn-abalone-n		
oewn-abamp-n		
oewn-abampere-n		
oewn-abandon-n	abandon	n
oewn-abandon-v	abandon	v
oewn-abandoned_infant-n	abandoned infant	n
oewn-abandoned_person-n	abandoned person	n
oewn-abandoned_ship-n	abandoned ship	n
oewn-abandoned-a		
oewn-abandonment-n		
oewn-abarticulation-n		
oewn-abase-v		
oewn-abasement-n		
oewn-abash-v		
oewn-abashed-a		
oewn-abashment-n		
oewn-abasia_trepidans-n	abasia trepidans	n
oewn-abasia-n		
oewn-abasic-a	abasic	a
oewn-abatable_nuisance-n	abatable nuisance	n
oewn-abatable-a		
oewn-abate-v	abate	v
oewn-abatement_of_a_nuisance-n	abatement of a nuisance	n
oewn-abatement-n		
oewn-abatic-a		
oewn-abatis-n		
oewn-abator-n	abator	n
oewn-abattis-n		
oewn-abattoir-n		
oewn-abaxial-a		
oewn-abaxially-r	abaxially	r
oewn-abaya-n		
oewn-abbacy-n		
oewn-abbatial-a		
oewn-Abbe_condenser-n		
oewn-Abbe_vertical_metroscope-n	Abbe vertical metroscope	n
oewn-abbe-n		
oewn-abbess-n		
oewn-abbey-n		
oewn-abbot-n		
oewn-abbreviate-v		
oewn-abbreviated-a		
oewn-abbreviation-n		
oewn-abbreviator-n		
oewn-ABC-ap-s-n	ABC's	n
oewn-ABC-n	ABC	n
oewn-abcoulomb-n		
oewn-ABCs-n	ABCs	n
oewn-abdicable-a		
oewn-abdicate-v		
oewn-abdication-n		
oewn-abdicator-n		
oewn-abdomen-n		
oewn-abdominal_actinomycosis-n	abdominal actinomycosis	n
oewn-abdominal_aorta-n	abdominal aorta	n
oewn-abdominal_aortic_aneurysm-n	abdominal aortic aneurysm	n
oewn-abdominal_breathing-n	abdominal breathing	n
oewn-abdominal_cavity-n	abdominal cavity	n
oewn-abdominal_delivery-n	abdominal delivery	n
oewn-abdominal_external_oblique_muscle-n	abdominal external oblique muscle	n
oewn-abdominal_muscle-n		
oewn-abdominal_nerve_plexus-n	abdominal nerve plexus	n
oewn-abdominal_pregnancy-n	abdominal pregnancy	n
oewn-abdominal_wall-n	abdominal wall	n
oewn-abdominal-a		
oewn-abdominal-n		
oewn-abdominocentesis-n		
oewn-abdominoplasty-n		
oewn-abdominous-a		
oewn-abdominousness-n	abdominousness	n
oewn-abdominovesical-a	abdominovesical	a
oewn-abduce-v		
oewn-abducens_muscle-n		
oewn-abducens_nerve-n		
oewn-abducens-n		
oewn-abducent_nerve-n		
oewn-abducent-a		
oewn-abducent-n		
oewn-abduct-v		
oewn-abducting-a	abducting	a
oewn-abduction-n		
oewn-abductor_muscle-n	abductor muscle	n
oewn-abductor-n	abductor	n
oewn-abeam-r		
oewn-abecedarian-a		
oewn-abecedarian-n		
oewn-Abecedarian-n		
oewn-abecedarius-n		
oewn-abed-r		
oewn-abele-n		
oewn-abelia-n		
oewn-Abelian_group-n		
oewn-Abelmoschus_esculentus-n	Abelmoschus esculentus	n
oewn-Abelmoschus_moschatus-n	Abelmoschus moschatus	n
oewn-abelmosk-n		
oewn-Abenaki-n		
oewn-Aberdeen_Angus-n		
oewn-Aberdonian-a		
oewn-aberrance-n		
oewn-aberrancy-n		
oewn-aberrant-a		
oewn-aberrant-n		
oewn-aberrate-v		
oewn-aberration-n		
oewn-abet-v		
oewn-abetalipoproteinemia-n		
oewn-abetment-n		
oewn-abettal-n		
oewn-abetter-n		
oewn-abettor-n		
oewn-abeyance-n		
oewn-abeyant-a		
oewn-abfarad-n		
oewn-abhenry-n		
oewn-abhor-v		
oewn-abhorrence-n		
oewn-abhorrent-a		
oewn-abhorrer-n		
oewn-abidance-n		
oewn-abide_by-v	abide by	v
oewn-abide-v		
oewn-abiding-a	abiding	a
oewn-abience-n		
oewn-abient-a		
oewn-Abies_alba-n	Abies alba	n
oewn-Abies_amabilis-n	Abies amabilis	n
oewn-Abies_balsamea-n	Abies balsamea	n
oewn-Abies_bracteata-n	Abies bracteata	n
oewn-Abies_concolor-n	Abies concolor	n
oewn-Abies_fraseri-n	Abies fraseri	n
oewn-Abies_grandis-n	Abies grandis	n
oewn-Abies_lasiocarpa-n	Abies lasiocarpa	n
oewn-Abies_lowiana-n	Abies lowiana	n
oewn-Abies_venusta-n	Abies venusta	n
oewn-ability-n		
oewn-abiogenesis-n		
oewn-abiogenetic-a		
oewn-abiogenist-n		
oewn-abiotrophy-n		
oewn-abject-a		
oewn-abjection-n		
oewn-abjectly-r		
oewn-abjuration-n		
oewn-abjure-v		
oewn-abjurer-n		
oewn-Abkhas-n		
oewn-Abkhasian_language-n	Abkhasian language	n
oewn-Abkhasian-n	Abkhasian	n
oewn-Abkhaz-a		
oewn-Abkhaz-n		
oewn-Abkhazian_language-n	Abkhazian language	n
oewn-Abkhazian-a		
oewn-Abkhazian-n		
oewn-ablactate-v		
oewn-ablactation-n		
oewn-ablate-v		
oewn-ablated-a	ablated	a
oewn-ablation_moraine-n	ablation moraine	n
oewn-ablation-n		
oewn-ablative_absolute-n		
oewn-ablative_case-n	ablative case	n
oewn-ablative-a		
oewn-ablative-n		
oewn-ablaut-n		
oewn-ablaze-a		
oewn-able_seaman-n	able seaman	n
oewn-able_seawoman-n	able seawoman	n
oewn-able-a	able	a
oewn-able-bodied_sailor-n	able-bodied sailor	n
oewn-able-bodied_seaman-n	able-bodied seaman	n
oewn-able-bodied_seawoman-n	able-bodied seawoman	n
oewn-able-bodied-a		
oewn-able-bodiedism-n	able-bodiedism	n
oewn-able-bodism-n	able-bodism	n
oewn-ableism-n		
oewn-ablepharia-n		
oewn-ablism-n	ablism	n
oewn-abloom-a		
oewn-ABLS-n	ABLS	n
oewn-ablution-n		
oewn-ablutionary-a		
oewn-ably-r		
oewn-ABM-n	ABM	n
oewn-Abnaki_language-n	Abnaki language	n
oewn-Abnaki-a	Abnaki	a
oewn-Abnaki-n	Abnaki	n
oewn-abnegate-v		
oewn-abnegation-n		
oewn-abnegator-n		
oewn-Abney_level-n		
oewn-abnormal_psychology-n	abnormal psychology	n
oewn-abnormal-a		
oewn-abnormalcy-n		
oewn-abnormality-n		
oewn-abnormally-r		
oewn-ABO_antibodies-n	ABO antibodies	n
oewn-ABO_blood_group_system-n	ABO blood group system	n
oewn-ABO_group-n	ABO group	n
oewn-ABO_system-n	ABO system	n
oewn-Abo-n	Abo	n
oewn-aboard-r		
oewn-abocclusion-n		
oewn-abode-n	abode	n
oewn-abohm-n		
oewn-abolish-v		
oewn-abolishable-a		
oewn-abolishment-n		
oewn-abolition-n		
oewn-abolitionary-a		
oewn-abolitionism-n		
oewn-abolitionist-n		
oewn-abomasal-a		
oewn-abomasum-n		
oewn-abominable_snowman-n		
oewn-abominable-a		
oewn-abominably-r		
oewn-abominate-v		
oewn-abomination-n		
oewn-abominator-n		
oewn-Abor_language-n	Abor language	n
oewn-Abor-n		
oewn-aborad-r		
oewn-aboral-a		
oewn-Aboriginal_Australian_language-n	Aboriginal Australian language	n
oewn-Aboriginal_Australian-n	Aboriginal Australian	n
oewn-aboriginal-a		
oewn-aboriginal-n		
oewn-aborigine-n		
oewn-Aborigine-n		
oewn-abort-n	abort	n
oewn-abort-v	abort	v
oewn-aborticide-n		
oewn-abortifacient-a		
oewn-abortifacient-n		
oewn-abortion_pill-n	abortion pill	n
oewn-abortion-inducing_drug-n	abortion-inducing drug	n
oewn-abortion-n		
oewn-abortionist-n		
oewn-abortive-a		
oewn-abortively-r		
oewn-abortus-n		
oewn-aboulia-n		
oewn-aboulic-a		
oewn-abound_in-v	abound in	v
oewn-abound-v		
oewn-abounding-a		
oewn-about_turn-n		
oewn-about-a		
oewn-about-face-n		
oewn-about-face-v		
oewn-about-r		
oewn-above_all-r	above all	r
oewn-above-a		
oewn-above-mentioned-a		
oewn-above-n		
oewn-above-named-a		
oewn-above-r		
oewn-aboveboard-a	aboveboard	a
oewn-aboveboard-r	aboveboard	r
oewn-aboveground-a	aboveground	a
oewn-abracadabra-n		
oewn-abrachia-n		
oewn-abradant-n		
oewn-abrade-v	abrade	v
oewn-abrader-n		
oewn-abrading_stone-n	abrading stone	n
oewn-Abraham-ap-s_bosom-n	Abraham's bosom	n
oewn-Abramis_brama-n	Abramis brama	n
oewn-abranchial-a		
oewn-abranchiate-a		
oewn-abranchious-a		
oewn-abrase-v		
oewn-abrasion-n		
oewn-abrasive_material-n	abrasive material	n
oewn-abrasive-a		
oewn-abrasive-n		
oewn-abrasiveness-n	abrasiveness	n
oewn-abreact-v		
oewn-abreaction-n		
oewn-abreast-a		
oewn-abreast-r		
oewn-abridge-v		
oewn-abridged-a		
oewn-abridgement-n		
oewn-abridger-n		
oewn-abridgment-n		
oewn-abroach-a		
oewn-abroad-a	abroad	a
oewn-abroad-r		
oewn-abrocome-n		
oewn-abrogate-v		
oewn-abrogation-n		
oewn-abrogator-n		
oewn-Abronia_elliptica-n	Abronia elliptica	n
oewn-Abronia_fragrans-n	Abronia fragrans	n
oewn-Abronia_latifolia-n	Abronia latifolia	n
oewn-Abronia_maritima-n	Abronia maritima	n
oewn-Abronia_umbellata-n	Abronia umbellata	n
oewn-Abronia_villosa-n	Abronia villosa	n
oewn-abrupt-a		
oewn-abruptio_placentae-n		
oewn-abruption-n		
oewn-abruptly-pinnate_leaf-n	abruptly-pinnate leaf	n
oewn-abruptly-pinnate-a	abruptly-pinnate	a
oewn-abruptly-r		
oewn-abruptness-n		
oewn-ABS-n		
oewn-abscess-n		
oewn-abscessed_tooth-n	abscessed tooth	n
oewn-abscessed-a	abscessed	a
oewn-abscise-v		
oewn-abscissa-n		
oewn-abscission-n		
oewn-abscond-v		
oewn-absconder-n		
oewn-abscondment-n	abscondment	n
oewn-abseil-n		
oewn-abseil-v		
oewn-abseiler-n		
oewn-absence_seizure-n		
oewn-absence_without_leave-n	absence without leave	n
oewn-absence-n		
oewn-absent-a		
oewn-absent-v		
oewn-absentee_ballot-n	absentee ballot	n
oewn-absentee_rate-n	absentee rate	n
oewn-absentee-n		
oewn-absenteeism-n		
oewn-absently-r		
oewn-absentminded-a	absentminded	a
oewn-absentmindedly-r	absentmindedly	r
oewn-absentmindedness-n	absentmindedness	n
oewn-absinth-n		
oewn-absinthe_oil-n		
oewn-absinthe-n		
oewn-absolute_alcohol-n		
oewn-absolute_ceiling-n		
oewn-absolute_deviation-n	absolute deviation	n
oewn-absolute_encoder-n	absolute encoder	n
oewn-absolute_frequency-n	absolute frequency	n
oewn-absolute_magnitude-n		
oewn-absolute_majority-n		
oewn-absolute_music-n		
oewn-absolute_pitch-n		
oewn-absolute_scale-n		
oewn-absolute_space-n		
oewn-absolute_temperature-n		
oewn-absolute_threshold-n		
oewn-absolute_value-n		
oewn-absolute_viscosity-n	absolute viscosity	n
oewn-absolute_zero-n		
oewn-absolute-a		
oewn-absolute-n		
oewn-absolutely-r		
oewn-absoluteness-n		
oewn-absolution-n		
oewn-absolutisation-n		
oewn-absolutism-n		
oewn-absolutist-a		
oewn-absolutist-n		
oewn-absolutistic-a		
oewn-absolutization-n		
oewn-absolve-v		
oewn-absolved-a	absolved	a
oewn-absolver-n		
oewn-absolvitory-a		
oewn-absorb-v		
oewn-absorbable-a		
oewn-absorbance-n		
oewn-absorbate-n		
oewn-absorbed-a		
oewn-absorbefacient-a		
oewn-absorbency-n		
oewn-absorbent_cotton-n		
oewn-absorbent_material-n	absorbent material	n
oewn-absorbent-a		
oewn-absorbent-n		
oewn-absorber-n		
oewn-absorbing-a		
oewn-absorptance-n		
oewn-absorption_band-n		
oewn-absorption_coefficient-n		
oewn-absorption_factor-n		
oewn-absorption_indicator-n	absorption indicator	n
oewn-absorption_spectrum-n		
oewn-absorption_unit-n	absorption unit	n
oewn-absorption-n		
oewn-absorptive-a		
oewn-absorptivity-n		
oewn-absquatulate-v		
oewn-abstain-v		
oewn-abstainer-n		
oewn-abstemious-a		
oewn-abstemiously-r		
oewn-abstemiousness-n		
oewn-abstention-n		
oewn-abstentious-a		
oewn-abstinence-n		
oewn-abstinent-a	abstinent	a
oewn-abstinent-n		
oewn-abstract_art-n		
oewn-abstract_artist-n	abstract artist	n
oewn-abstract_entity-n	abstract entity	n
oewn-Abstract_Expressionism-n		
oewn-abstract_thought-n	abstract thought	n
oewn-abstract-a		
oewn-abstract-n		
oewn-abstract-v		
oewn-abstracted-a		
oewn-abstractedly-r		
oewn-abstractedness-n		
oewn-abstracter-n		
oewn-abstraction-n		
oewn-abstractionism-n		
oewn-abstractionist-a		
oewn-abstractionist-n		
oewn-abstractive-a		
oewn-abstractly-r		
oewn-abstractness-n		
oewn-abstractor-n		
oewn-abstruse-a		
oewn-abstrusely-r		
oewn-abstruseness-n		
oewn-abstrusity-n		
oewn-absurd-a		
oewn-absurd-n		
oewn-absurdist_humor-n	absurdist humor	n
oewn-absurdist_humour-n	absurdist humour	n
oewn-absurdity-n		
oewn-absurdly-r		
oewn-absurdness-n		
oewn-Abudefduf_saxatilis-n	Abudefduf saxatilis	n
oewn-abulia-n		
oewn-abulic-a		
oewn-abundance-n		
oewn-abundant-a		
oewn-abundantly-r		
oewn-abuse-n		
oewn-abuse-v		
oewn-abused-a		
oewn-abuser-n		
oewn-abusive-a		
oewn-abusively-r		
oewn-abut-v	abut	v
oewn-Abutilon_theophrasti-n	Abutilon theophrasti	n
oewn-abutment_arch-n	abutment arch	n
oewn-abutment-n		
oewn-abutter-n		
oewn-abuzz-a		
oewn-abvolt-n		
oewn-abwatt-n		
oewn-aby-v		
oewn-abye-v		
oewn-abysm-n		
oewn-abysmal-a		
oewn-abysmally-r		
oewn-abyss-n		
oewn-abyssal_zone-n		
oewn-abyssal-a		
oewn-Abyssinian_banana-n	Abyssinian banana	n
oewn-Abyssinian_cat-n	Abyssinian cat	n
oewn-Abyssinian-n		
oewn-Ac-n	Ac	n
oewn-AC-n	AC	n
oewn-Acacia_auriculiformis-n	Acacia auriculiformis	n
oewn-Acacia_cambegei-n	Acacia cambegei	n
oewn-Acacia_catechu-n	Acacia catechu	n
oewn-Acacia_dealbata-n	Acacia dealbata	n
oewn-Acacia_farnesiana-n	Acacia farnesiana	n
oewn-Acacia_melanoxylon-n	Acacia melanoxylon	n
oewn-Acacia_pycnantha-n	Acacia pycnantha	n
oewn-Acacia_xanthophloea-n	Acacia xanthophloea	n
oewn-acacia-n	acacia	n
oewn-academe-n		
oewn-academia-n		
oewn-academic_administrator-n	academic administrator	n
oewn-academic_art-n	academic art	n
oewn-academic_costume-n		
oewn-academic_degree-n	academic degree	n
oewn-academic_department-n	academic department	n
oewn-academic_freedom-n		
oewn-academic_gown-n	academic gown	n
oewn-academic_program-n	academic program	n
oewn-academic_relation-n	academic relation	n
oewn-academic_requirement-n	academic requirement	n
oewn-academic_robe-n	academic robe	n
oewn-academic_session-n	academic session	n
oewn-academic_term-n	academic term	n
oewn-academic_year-n		
oewn-academic-a		
oewn-academic-n		
oewn-academically-r		
oewn-academician-n		
oewn-academicianship-n	academicianship	n
oewn-academicism-n		
oewn-academism-n		
oewn-Academy_Award-n		
