senseId	entryId	lemma	partOfSpeech	synsetId	subcat
oewn-144__1.23.00..	oewn-144-n	144	n	oewn-13772644-n	
oewn-145__5.00.00.cardinal.00	oewn-145-a	145	a	oewn-02204913-s	
oewn-145th__5.00.00.ordinal.00	oewn-145th-a	145th	a	oewn-02218421-s	
oewn-14th__5.00.00.ordinal.00	oewn-14th-a	14th	a	oewn-02211537-s	
oewn-15__1.23.00..	oewn-15-n	15	n	oewn-13769609-n	
oewn-15__5.00.00.cardinal.00	oewn-15-a	15	a	oewn-02195432-s	
oewn-15_minutes__1.28.00..	oewn-15_minutes-n	15 minutes	n	oewn-15253063-n	
oewn-150__5.00.00.cardinal.00	oewn-150-a	150	a	oewn-02205033-s	
oewn-150th__5.00.00.ordinal.00	oewn-150th-a	150th	a	oewn-02218561-s	
oewn-1530s__1.28.00..	oewn-1530s-n	1530s	n	oewn-15173747-n	
oewn-155__5.00.00.cardinal.00	oewn-155-a	155	a	oewn-02205145-s	
oewn-155th__5.00.00.ordinal.00	oewn-155th-a	155th	a	oewn-02218693-s	
oewn-15th__5.00.00.ordinal.00	oewn-15th-a	15th	a	oewn-02211645-s	
oewn-16__1.23.00..	oewn-16-n	16	n	oewn-13769746-n	
oewn-16__5.00.00.cardinal.00	oewn-16-a	16	a	oewn-02195542-s	
oewn-16_pf__1.10.00..	oewn-16_PF-n	16 PF	n	oewn-06487604-n	
oewn-160__5.00.00.cardinal.00	oewn-160-a	160	a	oewn-02205264-s	
oewn-160th__5.00.00.ordinal.00	oewn-160th-a	160th	a	oewn-02218833-s	
oewn-165__5.00.00.cardinal.00	oewn-165-a	165	a	oewn-02205377-s	
oewn-165th__5.00.00.ordinal.00	oewn-165th-a	165th	a	oewn-02218965-s	
oewn-16th__5.00.00.ordinal.00	oewn-16th-a	16th	a	oewn-02211800-s	
oewn-17__1.23.00..	oewn-17-n	17	n	oewn-13769865-n	
oewn-17__5.00.00.cardinal.00	oewn-17-a	17	a	oewn-02195634-s	
oewn-170__5.00.00.cardinal.00	oewn-170-a	170	a	oewn-02205497-s	
oewn-170th__5.00.00.ordinal.00	oewn-170th-a	170th	a	oewn-02219105-s	
oewn-1728__1.23.00..	oewn-1728-n	1728	n	oewn-13773298-n	
oewn-175__5.00.00.cardinal.00	oewn-175-a	175	a	oewn-02205613-s	
oewn-1750s__1.28.00..	oewn-1750s-n	1750s	n	oewn-15174893-n	
oewn-175th__5.00.00.ordinal.00	oewn-175th-a	175th	a	oewn-02219241-s	
oewn-1760s__1.28.00..	oewn-1760s-n	1760s	n	oewn-15175264-n	
oewn-1770s__1.28.00..	oewn-1770s-n	1770s	n	oewn-15175750-n	
oewn-1780s__1.28.00..	oewn-1780s-n	1780s	n	oewn-15176135-n	
oewn-1790s__1.28.00..	oewn-1790s-n	1790s	n	oewn-15176521-n	
oewn-17th__5.00.00.ordinal.00	oewn-17th-a	17th	a	oewn-02211906-s	
oewn-18__1.23.00..	oewn-18-n	18	n	oewn-13770005-n	
oewn-18__5.00.00.cardinal.00	oewn-18-a	18	a	oewn-02195747-s	
oewn-18--karat_gold__1.27.00..	oewn-18-karat_gold-n	18-karat gold	n	oewn-14663447-n	
oewn-180__5.00.00.cardinal.00	oewn-180-a	180	a	oewn-02205738-s	
oewn-180th__5.00.00.ordinal.00	oewn-180th-a	180th	a	oewn-02219385-s	
oewn-1820s__1.28.00..	oewn-1820s-n	1820s	n	oewn-15173918-n	
oewn-1830s__1.28.00..	oewn-1830s-n	1830s	n	oewn-15174231-n	
oewn-1840s__1.28.00..	oewn-1840s-n	1840s	n	oewn-15174522-n	
oewn-1850s__1.28.00..	oewn-1850s-n	1850s	n	oewn-15174813-n	
oewn-1860s__1.28.00..	oewn-1860s-n	1860s	n	oewn-15175184-n	
oewn-1870s__1.28.00..	oewn-1870s-n	1870s	n	oewn-15175670-n	
oewn-1880s__1.28.00..	oewn-1880s-n	1880s	n	oewn-15176044-n	
oewn-1890s__1.28.00..	oewn-1890s-n	1890s	n	oewn-15176430-n	
oewn-18th__5.00.00.ordinal.00	oewn-18th-a	18th	a	oewn-02212032-s	
oewn-19__1.23.00..	oewn-19-n	19	n	oewn-13770129-n	
oewn-19__5.00.00.cardinal.00	oewn-19-a	19	a	oewn-02195844-s	
oewn-190__5.00.00.cardinal.00	oewn-190-a	190	a	oewn-02205856-s	
oewn-1900s__1.28.00..	oewn-1900s-n			oewn-15173667-n	
oewn-190th__5.00.00.ordinal.00	oewn-190th-a	190th	a	oewn-02219519-s	
oewn-1920s__1.28.00..	oewn-1920s-n	1920s	n	oewn-15173827-n	
oewn-1930s__1.28.00..	oewn-1930s-n	1930s	n	oewn-15174140-n	
oewn-1940s__1.28.00..	oewn-1940s-n	1940s	n	oewn-15174432-n	
oewn-1950s__1.28.00..	oewn-1950s-n	1950s	n	oewn-15174723-n	
oewn-1960s__1.28.00..	oewn-1960s-n	1960s	n	oewn-15175094-n	
oewn-1970s__1.28.00..	oewn-1970s-n	1970s	n	oewn-15175578-n	
oewn-1980s__1.28.00..	oewn-1980s-n	1980s	n	oewn-15175953-n	
oewn-1990s__1.28.00..	oewn-1990s-n			oewn-15176339-n	
oewn-19th__5.00.00.ordinal.00	oewn-19th-a	19th	a	oewn-02212141-s	
oewn-1st__3.00.00..	oewn-1st-a			oewn-01014459-a	
oewn-1st_class__1.10.00..	oewn-1st_class-n	1st class	n	oewn-06275925-n	
oewn-1st_lieutenant__1.18.00..	oewn-1st_lieutenant-n	1st lieutenant	n	oewn-10112747-n	
oewn-1st--class_mail__1.10.00..	oewn-1st-class_mail-n	1st-class mail	n	oewn-06275925-n	
oewn-2__1.23.00..	oewn-2-n	2	n	oewn-13765409-n	
oewn-2__5.00.00.cardinal.00	oewn-2-a	2	a	oewn-02194109-s	
oewn-2--dimensional__5.00.00.multidimensional.00	oewn-2-dimensional-a	2-dimensional	a	oewn-00663738-s	
oewn-2--hitter__1.04.00..	oewn-2-hitter-n	2-hitter	n	oewn-00476284-n	
oewn-2--hydroxybenzoic_acid__1.27.00..	oewn-2-hydroxybenzoic_acid-n	2-hydroxybenzoic acid	n	oewn-15034605-n	
oewn-2--methylpropenoic_acid__1.27.00..	oewn-2-methylpropenoic_acid-n	2-methylpropenoic acid	n	oewn-14640000-n	
oewn-20__1.23.00..	oewn-20-n	20	n	oewn-13770268-n	
oewn-20__5.00.00.cardinal.00	oewn-20-a	20	a	oewn-02195956-s	
oewn-20-sol-20__1.09.00..	oewn-20-sl-20-n	20/20	n	oewn-05663655-n	
oewn-200__5.00.00.cardinal.00	oewn-200-a	200	a	oewn-02205971-s	
oewn-200th__5.00.00.ordinal.00	oewn-200th-a	200th	a	oewn-02219658-s	
oewn-2019--ncov_acute_respiratory_disease__1.26.01..	oewn-2019-nCoV_acute_respiratory_disease-n	2019-nCoV acute respiratory disease	n	oewn-82230893-n	
oewn-20th__5.00.00.ordinal.00	oewn-20th-a	20th	a	oewn-02212385-s	
oewn-21__1.23.00..	oewn-21-n	21	n	oewn-13770386-n	
oewn-21__5.00.00.cardinal.00	oewn-21-a	21	a	oewn-02196070-s	
oewn-21st__5.00.00.ordinal.00	oewn-21st-a	21st	a	oewn-02212492-s	
oewn-22__1.23.00..	oewn-22-n	22	n	oewn-13770507-n	
oewn-22__5.00.00.cardinal.00	oewn-22-a	22	a	oewn-02196164-s	
oewn-22--karat_gold__1.27.00..	oewn-22-karat_gold-n	22-karat gold	n	oewn-14663546-n	
oewn-22nd__5.00.00.ordinal.00	oewn-22nd-a	22nd	a	oewn-02212601-s	
oewn-23__1.23.00..	oewn-23-n	23	n	oewn-13770633-n	
oewn-23__5.00.00.cardinal.00	oewn-23-a	23	a	oewn-02196259-s	
oewn-23rd__5.00.00.ordinal.00	oewn-23rd-a	23rd	a	oewn-02212714-s	
oewn-24__1.23.00..	oewn-24-n	24	n	oewn-13770762-n	
oewn-24__5.00.00.cardinal.00	oewn-24-a	24	a	oewn-02196359-s	
oewn-24--hour_interval__1.28.00..	oewn-24-hour_interval-n	24-hour interval	n	oewn-15180180-n	
oewn-24--karat_gold__1.27.00..	oewn-24-karat_gold-n	24-karat gold	n	oewn-14663645-n	
oewn-24-sol-7__1.28.00..	oewn-24-sl-7-n	24/7	n	oewn-15142953-n	
oewn-24th__5.00.00.ordinal.00	oewn-24th-a	24th	a	oewn-02212827-s	
oewn-25__1.23.00..	oewn-25-n	25	n	oewn-13770903-n	
oewn-25__5.00.00.cardinal.00	oewn-25-a	25	a	oewn-02196456-s	
oewn-25th__5.00.00.ordinal.00	oewn-25th-a	25th	a	oewn-02212940-s	
oewn-26__1.23.00..	oewn-26-n	26	n	oewn-13771030-n	
oewn-26__5.00.00.cardinal.00	oewn-26-a	26	a	oewn-02196552-s	
oewn-26th__5.00.00.ordinal.00	oewn-26th-a	26th	a	oewn-02213053-s	
oewn-27__1.23.00..	oewn-27-n	27	n	oewn-13771157-n	
oewn-27__5.00.00.cardinal.00	oewn-27-a	27	a	oewn-02196647-s	
oewn-27th__5.00.00.ordinal.00	oewn-27th-a	27th	a	oewn-02213165-s	
oewn-28__1.23.00..	oewn-28-n	28	n	oewn-13771286-n	
oewn-28__5.00.00.cardinal.00	oewn-28-a	28	a	oewn-02196747-s	
oewn-28th__5.00.00.ordinal.00	oewn-28th-a	28th	a	oewn-02213279-s	
oewn-29__1.23.00..	oewn-29-n	29	n	oewn-13771418-n	
oewn-29__5.00.00.cardinal.00	oewn-29-a	29	a	oewn-02196848-s	
oewn-29th__5.00.00.ordinal.00	oewn-29th-a	29th	a	oewn-02213394-s	
oewn-2d__5.00.00.ordinal.00	oewn-2d-a	2d	a	oewn-02209815-s	
oewn-2nd__5.00.00.ordinal.00	oewn-2nd-a	2nd	a	oewn-02209815-s	
oewn-2nd_lieutenant__1.18.00..	oewn-2nd_lieutenant-n	2nd lieutenant	n	oewn-10588455-n	
oewn-3__1.23.00..	oewn-3-n	3	n	oewn-13766184-n	
oewn-3__5.00.00.cardinal.00	oewn-3-a	3	a	oewn-02194219-s	
oewn-3--d__1.09.00..	oewn-3-D-n	3-D	n	oewn-05948666-n	
oewn-3--d__1.10.00..	oewn-3-D-n	3-D	n	oewn-06631444-n	
oewn-3--dimensional__5.00.00.multidimensional.00	oewn-3-dimensional-a	3-dimensional	a	oewn-00663996-s	
oewn-3--hitter__1.04.00..	oewn-3-hitter-n	3-hitter	n	oewn-00476414-n	
oewn-3--membered__5.00.00.membered.00	oewn-3-membered-a	3-membered	a	oewn-01506475-s	
oewn-30__1.23.00..	oewn-30-n	30	n	oewn-13771547-n	
oewn-30__5.00.00.cardinal.00	oewn-30-a	30	a	oewn-02196945-s	
oewn-30_minutes__1.28.00..	oewn-30_minutes-n	30 minutes	n	oewn-15252958-n	
oewn-300__5.00.00.cardinal.00	oewn-300-a	300	a	oewn-02206078-s	
oewn-300th__5.00.00.ordinal.00	oewn-300th-a	300th	a	oewn-02219777-s	
oewn-30th__5.00.00.ordinal.00	oewn-30th-a	30th	a	oewn-02213507-s	
oewn-31__5.00.00.cardinal.00	oewn-31-a	31	a	oewn-02197035-s	
oewn-31st__5.00.00.ordinal.00	oewn-31st-a	31st	a	oewn-02213616-s	
oewn-32__5.00.00.cardinal.00	oewn-32-a	32	a	oewn-02197130-s	
oewn-32nd__5.00.00.ordinal.00	oewn-32nd-a	32nd	a	oewn-02213725-s	
oewn-33__5.00.00.cardinal.00	oewn-33-a	33	a	oewn-02197226-s	
oewn-33rd__5.00.00.ordinal.00	oewn-33rd-a	33rd	a	oewn-02213842-s	
oewn-34__5.00.00.cardinal.00	oewn-34-a	34	a	oewn-02197327-s	
oewn-34th__5.00.00.ordinal.00	oewn-34th-a	34th	a	oewn-02213960-s	
oewn-35__5.00.00.cardinal.00	oewn-35-a	35	a	oewn-02197425-s	
oewn-35th__5.00.00.ordinal.00	oewn-35th-a	35th	a	oewn-02214078-s	
oewn-36__5.00.00.cardinal.00	oewn-36-a	36	a	oewn-02197522-s	
oewn-365_days__1.28.00..	oewn-365_days-n	365 days	n	oewn-15226966-n	
oewn-366_days__1.28.00..	oewn-366_days-n	366 days	n	oewn-15227065-n	
oewn-36th__5.00.00.ordinal.00	oewn-36th-a	36th	a	oewn-02214195-s	
oewn-37__5.00.00.cardinal.00	oewn-37-a	37	a	oewn-02197618-s	
oewn-37th__5.00.00.ordinal.00	oewn-37th-a	37th	a	oewn-02214311-s	
oewn-38__5.00.00.cardinal.00	oewn-38-a	38	a	oewn-02197719-s	
oewn-38th__5.00.00.ordinal.00	oewn-38th-a	38th	a	oewn-02214431-s	
oewn-39__5.00.00.cardinal.00	oewn-39-a	39	a	oewn-02197821-s	
oewn-39th__5.00.00.ordinal.00	oewn-39th-a	39th	a	oewn-02214550-s	
oewn-3d__1.09.00..	oewn-3D-n	3D	n	oewn-05948666-n	
oewn-3d__1.10.00..	oewn-3D-n	3D	n	oewn-06631444-n	
oewn-3d_radar__1.06.00..	oewn-3d_radar-n	3d radar	n	oewn-04434694-n	
oewn-3rd__5.00.00.ordinal.00	oewn-3rd-a	3rd	a	oewn-02209976-s	
oewn-3tc__1.06.00..	oewn-3TC-n	3TC	n	oewn-03641353-n	
oewn-4__1.23.00..	oewn-4-n	4	n	oewn-13766444-n	
oewn-4__5.00.00.cardinal.00	oewn-4-a	4	a	oewn-02194304-s	
oewn-4--dimensional__5.00.00.multidimensional.00	oewn-4-dimensional-a	4-dimensional	a	oewn-00664333-s	
oewn-4--hitter__1.04.00..	oewn-4-hitter-n	4-hitter	n	oewn-00476546-n	
oewn-4--membered__5.00.00.membered.00	oewn-4-membered-a	4-membered	a	oewn-01506604-s	
oewn-40__1.23.00..	oewn-40-n	40	n	oewn-13771667-n	
oewn-40__5.00.00.cardinal.00	oewn-40-a	40	a	oewn-02197917-s	
oewn-400__5.00.00.cardinal.00	oewn-400-a	400	a	oewn-02206189-s	
oewn-400th__5.00.00.ordinal.00	oewn-400th-a	400th	a	oewn-02219900-s	
oewn-401--k__1.09.00..	oewn-401-k-n	401-k	n	oewn-05920154-n	
oewn-401--k_plan__1.09.00..	oewn-401-k_plan-n	401-k plan	n	oewn-05920154-n	
oewn-40th__5.00.00.ordinal.00	oewn-40th-a	40th	a	oewn-02214667-s	
oewn-41__5.00.00.cardinal.00	oewn-41-a	41	a	oewn-02198016-s	
oewn-41st__5.00.00.ordinal.00	oewn-41st-a	41st	a	oewn-02214774-s	
oewn-42__5.00.00.cardinal.00	oewn-42-a	42	a	oewn-02198108-s	
oewn-42nd__5.00.00.ordinal.00	oewn-42nd-a	42nd	a	oewn-02214888-s	
oewn-43__5.00.00.cardinal.00	oewn-43-a	43	a	oewn-02198201-s	
oewn-43rd__5.00.00.ordinal.00	oewn-43rd-a	43rd	a	oewn-02215003-s	
oewn-44__5.00.00.cardinal.00	oewn-44-a	44	a	oewn-02198299-s	
oewn-440_yards__1.23.00..	oewn-440_yards-n	440 yards	n	oewn-13673549-n	
oewn-44th__5.00.00.ordinal.00	oewn-44th-a	44th	a	oewn-02215119-s	
oewn-45__5.00.00.cardinal.00	oewn-45-a	45	a	oewn-02198394-s	
oewn-45th__5.00.00.ordinal.00	oewn-45th-a	45th	a	oewn-02215235-s	
oewn-46__5.00.00.cardinal.00	oewn-46-a	46	a	oewn-02198488-s	
oewn-46th__5.00.00.ordinal.00	oewn-46th-a	46th	a	oewn-02215350-s	
oewn-47__5.00.00.cardinal.00	oewn-47-a	47	a	oewn-02198581-s	
oewn-47th__5.00.00.ordinal.00	oewn-47th-a	47th	a	oewn-02215464-s	
oewn-48__5.00.00.cardinal.00	oewn-48-a	48	a	oewn-02198679-s	
oewn-48th__5.00.00.ordinal.00	oewn-48th-a	48th	a	oewn-02215582-s	
oewn-49__5.00.00.cardinal.00	oewn-49-a	49	a	oewn-02198778-s	
oewn-49th__5.00.00.ordinal.00	oewn-49th-a	49th	a	oewn-02215699-s	
oewn-4th__5.00.00.ordinal.00	oewn-4th-a	4th	a	oewn-02210112-s	
oewn-4to__1.07.00..	oewn-4to-n	4to	n	oewn-05104082-n	
oewn-4wd__1.06.00..	oewn-4WD-n	4WD	n	oewn-03394457-n	
oewn-4wd__1.06.01..	oewn-4WD-n	4WD	n	oewn-03394607-n	
oewn-5__1.23.00..	oewn-5-n	5	n	oewn-13766661-n	
oewn-5__5.00.00.cardinal.00	oewn-5-a	5	a	oewn-02194389-s	
oewn-5--hitter__1.04.00..	oewn-5-hitter-n	5-hitter	n	oewn-00476672-n	
oewn-5--hydroxy--3--methylglutaryl--coenzyme_a_reductase__1.27.00..	oewn-5-hydroxy-3-methylglutaryl-coenzyme_A_reductase-n	5-hydroxy-3-methylglutaryl-coenzyme A reductase	n	oewn-14636622-n	
oewn-5--hydroxytryptamine__1.27.00..	oewn-5-hydroxytryptamine-n	5-hydroxytryptamine	n	oewn-14832443-n	
oewn-5--membered__5.00.00.membered.00	oewn-5-membered-a	5-membered	a	oewn-01506731-s	
oewn-50__1.23.00..	oewn-50-n	50	n	oewn-13771784-n	
oewn-50__5.00.00.cardinal.00	oewn-50-a	50	a	oewn-02198871-s	
oewn-500__1.23.00..	oewn-500-n	500	n	oewn-13772852-n	
oewn-500__5.00.00.cardinal.00	oewn-500-a	500	a	oewn-02206300-s	
oewn-500th__5.00.00.ordinal.00	oewn-500th-a	500th	a	oewn-02220021-s	
oewn-50th__5.00.00.ordinal.00	oewn-50th-a	50th	a	oewn-02215814-s	
oewn-51__5.00.00.cardinal.00	oewn-51-a	51	a	oewn-02198975-s	
oewn-52__5.00.00.cardinal.00	oewn-52-a	52	a	oewn-02199066-s	
oewn-53__5.00.00.cardinal.00	oewn-53-a	53	a	oewn-02199158-s	
oewn-54__5.00.00.cardinal.00	oewn-54-a	54	a	oewn-02199255-s	
oewn-55__5.00.00.cardinal.00	oewn-55-a	55	a	oewn-02199349-s	
oewn-55th__5.00.00.ordinal.00	oewn-55th-a	55th	a	oewn-02215939-s	
oewn-56__5.00.00.cardinal.00	oewn-56-a	56	a	oewn-02199442-s	
oewn-57__5.00.00.cardinal.00	oewn-57-a	57	a	oewn-02199534-s	
oewn-58__5.00.00.cardinal.00	oewn-58-a	58	a	oewn-02199631-s	
oewn-59__5.00.00.cardinal.00	oewn-59-a	59	a	oewn-02199729-s	
oewn-5th__5.00.00.ordinal.00	oewn-5th-a	5th	a	oewn-02210381-s	
oewn-6__1.23.00..	oewn-6-n	6	n	oewn-13766862-n	
oewn-6__5.00.00.cardinal.00	oewn-6-a	6	a	oewn-02194472-s	
oewn-6--membered__5.00.00.membered.00	oewn-6-membered-a	6-membered	a	oewn-01506858-s	
oewn-60__1.23.00..	oewn-60-n	60	n	oewn-13771918-n	
oewn-60__5.00.00.cardinal.00	oewn-60-a	60	a	oewn-02199823-s	
oewn-60_minutes__1.28.00..	oewn-60_minutes-n	60 minutes	n	oewn-15252642-n	
oewn-60th__5.00.00.ordinal.00	oewn-60th-a	60th	a	oewn-02216054-s	
oewn-61__5.00.00.cardinal.00	oewn-61-a	61	a	oewn-02199923-s	
oewn-62__5.00.00.cardinal.00	oewn-62-a	62	a	oewn-02200015-s	
oewn-63__5.00.00.cardinal.00	oewn-63-a	63	a	oewn-02200108-s	
oewn-64__5.00.00.cardinal.00	oewn-64-a	64	a	oewn-02200206-s	
oewn-64th__5.00.00.ordinal.00	oewn-64th-a	64th	a	oewn-02216161-s	
oewn-65__5.00.00.cardinal.00	oewn-65-a	65	a	oewn-02200301-s	
oewn-65th__5.00.00.ordinal.00	oewn-65th-a	65th	a	oewn-02216277-s	
oewn-66__5.00.00.cardinal.00	oewn-66-a	66	a	oewn-02200395-s	
oewn-67__5.00.00.cardinal.00	oewn-67-a	67	a	oewn-02200488-s	
oewn-68__5.00.00.cardinal.00	oewn-68-a	68	a	oewn-02200586-s	
oewn-69__5.00.00.cardinal.00	oewn-69-a	69	a	oewn-02200685-s	
oewn-6th__5.00.00.ordinal.00	oewn-6th-a	6th	a	oewn-02210523-s	
oewn-7__1.23.00..	oewn-7-n	7	n	oewn-13767056-n	
oewn-7__5.00.00.cardinal.00	oewn-7-a	7	a	oewn-02194609-s	
oewn-7--membered__5.00.00.membered.00	oewn-7-membered-a	7-membered	a	oewn-01507054-s	
oewn-70__1.23.00..	oewn-70-n	70	n	oewn-13772034-n	
oewn-70__5.00.00.cardinal.00	oewn-70-a	70	a	oewn-02200780-s	
oewn-70th__5.00.00.ordinal.00	oewn-70th-a	70th	a	oewn-02216392-s	
oewn-71__5.00.00.cardinal.00	oewn-71-a	71	a	oewn-02200888-s	
oewn-72__5.00.00.cardinal.00	oewn-72-a	72	a	oewn-02200985-s	
oewn-73__5.00.00.cardinal.00	oewn-73-a	73	a	oewn-02201083-s	
oewn-74__5.00.00.cardinal.00	oewn-74-a	74	a	oewn-02201186-s	
oewn-75__5.00.00.cardinal.00	oewn-75-a	75	a	oewn-02201286-s	
oewn-75th__5.00.00.ordinal.00	oewn-75th-a	75th	a	oewn-02216521-s	
oewn-76__5.00.00.cardinal.00	oewn-76-a	76	a	oewn-02201385-s	
oewn-77__5.00.00.cardinal.00	oewn-77-a	77	a	oewn-02201483-s	
oewn-78__1.06.00..	oewn-78-n	78	n	oewn-04185251-n	
