upos	xpos	count
PROPN	NOUN_PROP+NSUFF_FEM_SG+CASE_DEF_ACC	170
NOUN	NOUN_QUANT+CASE_INDEF_GEN	168
PROPN	NOUN+NSUFF_FEM_SG	168
ADJ	ADJ+CASE_DEF_GEN	167
ADJ	DET+ADJ+NSUFF_MASC_PL_NOM	167
NOUN	DET+ADJ+NSUFF_MASC_PL_GEN	165
PROPN	DET+ADJ	162
VERB	PV_PASS+PVSUFF_SUBJ:3MP	162
NOUN	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_GEN	156
NOUN	DET+NOUN+NSUFF_MASC_DU_NOM	155
PRON	IVSUFF_DO:1P	154
NOUN	NOUN_PROP	151
NOUN	NOUN+NSUFF_MASC_DU_GEN_POSS	151
VERB	IV3MD+IV+IVSUFF_SUBJ:D_MOOD:I	151
VERB	IV1S+IV+IVSUFF_MOOD:S	148
NOUN	ADJ+CASE_INDEF_GEN	145
ADJ	ADJ_NUM+CASE_DEF_ACC	144
DET	DEM_PRON_P	144
NOUN	NOUN+NSUFF_MASC_DU_ACC	144
NOUN	PREP	142
ADJ	DET+ADJ_NUM+CASE_DEF_ACC	141
ADJ	DET+ADJ+NSUFF_MASC_DU_GEN	139
ADJ	NOUN_NUM	139
NOUN	NOUN_QUANT+CASE_INDEF_ACC	139
PRON	IVSUFF_DO:3MP	138
NOUN	DET+NOUN_QUANT+CASE_DEF_GEN	137
NOUN	NOUN+NSUFF_FEM_DU_GEN	137
NOUN	NOUN+NSUFF_FEM_DU_GEN_POSS	136
ADJ	ADJ_COMP	133
ADJ	ADJ+CASE_DEF_ACC	131
PRON	INTERROG_PRON	130
NOUN	NOUN+NSUFF_MASC_DU_ACC_POSS	126
ADJ	ADJ+CASE_DEF_NOM	125
ADJ	DET+ADJ+NSUFF_FEM_SG	125
AUX	PV+PVSUFF_SUBJ:3MP	124
VERB	VERB	124
NOUN	NOUN+NSUFF_FEM_SG	122
ADJ	DET+NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	120
NOUN	NOUN+NSUFF_MASC_DU_NOM	116
ADJ	DET+ADJ_COMP+CASE_DEF_NOM	114
ADJ	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	114
VERB	IV3MS+IV_PASS+IVSUFF_MOOD:S	114
NUM	NOUN_NUM+CASE_INDEF_GEN	112
ADJ	ADJ_NUM+CASE_DEF_GEN	111
ADJ	ADJ+NSUFF_FEM_SG+CASE_DEF_GEN	111
ADJ	DET+NOUN+CASE_DEF_GEN	110
AUX	IV3MS+IV+IVSUFF_MOOD:J	110
PRON	POSS_PRON_2MS	109
PROPN	ADJ+NSUFF_FEM_SG	109
PROPN	NOUN_PROP+NSUFF_FEM_SG+CASE_DEF_GEN	109
NUM	NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_NOM	108
PRON	POSS_PRON_2MP	108
NOUN	DET+ADJ+CASE_DEF_NOM	107
NUM	NOUN_NUM+CASE_INDEF_ACC	107
NOUN	DET+NOUN_QUANT+CASE_DEF_NOM	105
X	IV1S+IV+IVSUFF_MOOD:S	105
ADJ	DET+ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_NOM	104
CCONJ	SUB_CONJ	104
PROPN	NOUN+NSUFF_MASC_DU_ACC_POSS	104
NOUN	ADJ+CASE_DEF_GEN	103
ADJ	DET+ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_ACC	101
ADJ	NOUN_NUM+CASE_INDEF_GEN	101
PART	VOC_PART	100
ADJ	ADJ_COMP+CASE_INDEF_GEN	99
NUM	NOUN_NUM+NSUFF_MASC_PL_GEN	95
ADJ	DET+NOUN_NUM+CASE_DEF_GEN	90
NOUN	NOUN_QUANT+NSUFF_FEM_SG+CASE_DEF_GEN	90
PRON	PVSUFF_DO:3MP	90
NOUN	NOUN+NSUFF_MASC_PL_ACC_POSS	87
VERB	IV3MS+IV_PASS+IVSUFF_MOOD:J	87
ADJ	ADJ_NUM	86
NOUN	NOUN_NUM+CASE_DEF_GEN	83
ADJ	DET+ADJ_COMP+CASE_DEF_ACC	82
NOUN	DET+ADJ+CASE_DEF_ACC	82
VERB	IV3FS+IV_PASS+IVSUFF_MOOD:S	82
CCONJ	PUNC	80
NUM	NOUN+CASE_DEF_GEN	80
PROPN	DET+NOUN+NSUFF_FEM_SG	80
NOUN	NOUN_QUANT+CASE_INDEF_NOM	78
PROPN	PV+PVSUFF_SUBJ:3MD	78
VERB	IV1P+IV+IVSUFF_MOOD:J	77
PROPN	NOUN_PROP+NSUFF_FEM_SG+CASE_DEF_NOM	76
ADV	NOUN_QUANT	75
ADJ	ADJ+NSUFF_MASC_DU_GEN	74
NOUN	ADJ+NSUFF_FEM_SG+CASE_INDEF_GEN	74
NUM	NOUN_NUM+CASE_DEF_NOM	74
PRON	IVSUFF_DO:1S	74
ADJ	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_GEN	73
X	NOUN_PROP	73
AUX	IV3FS+IV+IVSUFF_MOOD:J	71
ADJ	ADJ_NUM+CASE_DEF_NOM	70
PART	PREP	70
PROPN	DET+NOUN_PROP+NSUFF_FEM_SG+CASE_DEF_ACC	70
PROPN	NOUN+CASE_INDEF_ACC	70
NOUN	NOUN+NSUFF_FEM_DU_ACC	69
NOUN	NOUN+NSUFF_MASC_PL_NOM_POSS	69
ADJ	ADJ_NUM+NSUFF_FEM_SG+CASE_INDEF_ACC	67
ADV	NOUN+CASE_INDEF_ACC	66
PRON	PVSUFF_DO:1P	66
PRON	PRON_2MS	65
PROPN	NOUN_PROP+CASE_INDEF_ACC	64
VERB	PV+PVSUFF_SUBJ:3FD	64
ADJ	NOUN+CASE_INDEF_ACC	63
PROPN	PV+PVSUFF_SUBJ:3FS	63
NOUN	ADJ+NSUFF_FEM_SG+CASE_INDEF_ACC	62
NUM	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_GEN	62
PRON	PRON_2MP	62
X	PSEUDO_VERB	62
NOUN	NOUN+NSUFF_MASC_DU_NOM_POSS	61
NUM	NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_GEN	61
PART	CONJ	61
ADJ	ADJ+NSUFF_MASC_DU_ACC	60
NOUN	DET+NOUN+NSUFF_FEM_PL	60
VERB	IV2MS+IV+IVSUFF_MOOD:I	60
NOUN	NOUN_NUM+CASE_DEF_ACC	59
NOUN	NOUN_QUANT+NSUFF_FEM_SG+CASE_DEF_NOM	58
NOUN	DET+ADJ	57
NOUN	NOUN_NUM+CASE_DEF_NOM	57
NOUN	NOUN_QUANT+NSUFF_FEM_SG+CASE_DEF_ACC	57
ADJ	ADJ_NUM+NSUFF_FEM_SG+CASE_INDEF_GEN	55
ADJ	DET+ADJ+NSUFF_FEM_PL+CASE_DEF_GEN	54
VERB	IV1S+IV+IVSUFF_MOOD:J	54
INTJ	INTERJ	53
PART	JUS_PART	52
ADJ	DET+ADJ+NSUFF_FEM_DU_GEN	51
NOUN	NOUN+NSUFF_FEM_DU_NOM	51
PRON	PVSUFF_DO:1S	51
PROPN	DET+ADJ+NSUFF_FEM_SG	50
PROPN	PV+PVSUFF_SUBJ:3FP	49
DET	DEM_PRON	48
NOUN	CONJ	48
ADJ	DET+ADJ+NSUFF_MASC_DU_ACC	47
ADJ	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_ACC	47
AUX	PV+PVSUFF_SUBJ:1S	46
VERB	IV3FD+IV+IVSUFF_SUBJ:D_MOOD:I	46
VERB	PV+PVSUFF_SUBJ:2MS	46
VERB	CONJ	45
ADJ	NOUN+CASE_INDEF_GEN	43
ADJ	NOUN+NSUFF_FEM_SG+CASE_INDEF_GEN	43
ADV	NOUN_PROP+CASE_DEF_ACC	43
NOUN	DET+NOUN+NSUFF_FEM_SG	43
NOUN	NOUN+NSUFF_FEM_PL	43
NUM	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_ACC	42
VERB	PV_PASS+PVSUFF_SUBJ:3MD	42
ADJ	ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_ACC	41
ADJ	ADJ+NSUFF_FEM_SG+CASE_DEF_ACC	41
CCONJ	CONNEC_PART	41
CCONJ	PREP	41
NOUN	ADJ+CASE_DEF_NOM	41
PROPN	ADJ+NSUFF_MASC_DU_NOM_POSS	41
VERB	IV3FS+IV_PASS+IVSUFF_MOOD:J	41
VERB	NOUN_PROP	41
X	NOUN	41
ADJ	DET+ADJ_NUM+NSUFF_MASC_PL_GEN	40
NOUN	DET+ADJ+NSUFF_FEM_PL+CASE_DEF_GEN	40
NOUN	DET+ADJ+NSUFF_MASC_PL_NOM	40
NOUN	NOUN+NSUFF_FEM_DU_ACC_POSS	40
PART	PSEUDO_VERB	40
NOUN	ADJ+NSUFF_FEM_SG+CASE_DEF_GEN	39
VERB	IV2MP+IV+IVSUFF_SUBJ:MP_MOOD:I	38
ADJ	ADJ+NSUFF_FEM_SG	37
ADJ	NOUN+CASE_INDEF_NOM	37
NOUN	DET+NOUN+NSUFF_FEM_DU_ACC	37
NOUN	NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	37
NUM	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_NOM	37
ADJ	ADJ+NSUFF_FEM_DU_GEN	36
ADJ	ADJ+NSUFF_MASC_DU_NOM	36
ADJ	NOUN	36
ADJ	NOUN_NUM+CASE_INDEF_ACC	36
NOUN	DET+NOUN+NSUFF_FEM_DU_NOM	36
PROPN	FOREIGN	36
ADJ	ADJ+NSUFF_FEM_SG+CASE_DEF_NOM	35
AUX	PV+PVSUFF_SUBJ:1P	35
NOUN	NOUN+NSUFF_FEM_DU_NOM_POSS	35
VERB	CV+CVSUFF_SUBJ:2MS	34
ADJ	ADJ+NSUFF_MASC_DU_NOM_POSS	33
NOUN	DET+NOUN_QUANT+CASE_DEF_ACC	33
PRON	PVSUFF_DO:3D	33
PROPN	IV1S+IV+IVSUFF_MOOD:J	33
NUM	NOUN_NUM+NSUFF_MASC_PL_ACC	32
ADJ	DET+NOUN	31
ADJ	DET+NOUN+CASE_DEF_NOM	31
NOUN	ADJ+NSUFF_MASC_PL_NOM	31
NOUN	PV+PVSUFF_SUBJ:3MS	31
PROPN	ADJ+NSUFF_MASC_DU_ACC_POSS	31
ADJ	NOUN+NSUFF_FEM_SG+CASE_INDEF_ACC	30
PROPN	NOUN_PROP+CASE_INDEF_NOM	29
X	ADJ+NSUFF_FEM_SG	29
ADJ	ADJ_COMP+CASE_INDEF_ACC	28
NOUN	ADJ+CASE_INDEF_NOM	28
PRON	NOUN+CASE_DEF_GEN	28
PROPN	IV1S+IV+IVSUFF_MOOD:S	28
ADP	CONJ	27
NOUN	ADJ+NSUFF_MASC_PL_GEN	27
VERB	IV2MS+IV+IVSUFF_MOOD:S	27
ADJ	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_NOM	26
ADJ	NOUN+NSUFF_FEM_SG+CASE_INDEF_NOM	26
ADP	TyPO	26
AUX	PV+PVSUFF_SUBJ:3MD	26
NOUN	DET+NOUN_QUANT+NSUFF_FEM_SG+CASE_DEF_GEN	26
NUM	DET+NOUN_NUM+CASE_DEF_GEN	26
NUM	NOUN_NUM+NSUFF_MASC_DU_GEN_POSS	26
X	PV+PVSUFF_SUBJ:3MS	26
ADJ	NOUN_NUM+CASE_INDEF_NOM	25
DET	NOUN	25
PROPN	ADJ+NSUFF_MASC_DU_NOM	25
VERB	PV+PVSUFF_SUBJ:3FP	25
ADJ	DET+NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_NOM	24
AUX	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ	24
NOUN	NOUN_QUANT+NSUFF_FEM_SG+CASE_INDEF_ACC	24
PROPN	PV+PVSUFF_SUBJ:3FD	24
ADJ	ADJ_COMP+CASE_INDEF_NOM	23
CCONJ	RC_PART	23
NOUN	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_ACC	23
NOUN	PUNC	23
NUM	NOUN_NUM+NSUFF_MASC_DU_GEN	23
PRON	IVSUFF_DO:2MS	23
PRON	PREP	23
PROPN	ADJ_COMP	23
PROPN	NOUN_PROP+NSUFF_FEM_PL	23
PROPN	NOUN+NSUFF_MASC_DU_NOM	23
VERB	CV+CVSUFF_SUBJ:2MP	23
ADJ	ADJ+NSUFF_FEM_DU_ACC	22
ADJ	ADJ+NSUFF_MASC_PL_GEN_POSS	22
ADJ	DET+ADJ+NSUFF_MASC_DU_NOM	22
ADJ	DET+NOUN+NSUFF_MASC_PL_GEN	22
NOUN	IV3MS+IV+IVSUFF_MOOD:I	22
PRON	IVSUFF_DO:3D	22
PROPN	ADJ+NSUFF_MASC_PL_NOM_POSS	22
PROPN	NOUN+NSUFF_MASC_DU_NOM_POSS	22
ADJ	ADJ_NUM+NSUFF_FEM_SG+CASE_INDEF_NOM	21
ADJ	DET+NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_ACC	21
ADJ	NOUN_PROP	21
DET	DEM_PRON_MD	21
NOUN	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_NOM	21
PRON	IVSUFF_DO:2MP	21
SCONJ	PREP	21
VERB	IV2MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ	21
VERB	IV3MD+IV+IVSUFF_SUBJ:D_MOOD:SJ	21
X	FOREIGN	21
ADJ	ADJ_NUM+CASE_INDEF_GEN	20
ADJ	ADJ+NSUFF_FEM_DU_NOM	20
ADP	DET+NOUN+CASE_DEF_GEN	20
NOUN	ADJ+NSUFF_MASC_PL_GEN_POSS	20
PROPN	PREP	20
X	DET+NOUN	20
ADV	TyPO	19
AUX	IV1P+IV+IVSUFF_MOOD:S	19
NOUN	ADJ+NSUFF_FEM_PL+CASE_DEF_GEN	19
NOUN	ADJ+NSUFF_MASC_PL_ACC	19
NUM	NOUN_NUM+CASE_INDEF_NOM	19
SCONJ	TyPO	19
VERB	REL_PRON	19
ADP	RC_PART	18
ADV	NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	18
DET	DEM_PRON_FD	18
NOUN	ADJ	18
NOUN	ADJ+NSUFF_FEM_SG+CASE_DEF_NOM	18
PRON	POSS_PRON_3FP	18
PROPN	NOUN+CASE_DEF_GEN	18
SCONJ	EMPHATIC_PART	18
VERB	IV3MP+IV_PASS+IVSUFF_SUBJ:MP_MOOD:I	18
X	IV3MS+IV+IVSUFF_MOOD:S	18
CCONJ	NEG_PART	17
NOUN	DEM_PRON_MS	17
NOUN	NOUN_NUM+CASE_INDEF_NOM	17
NOUN	NOUN_QUANT	17
NUM	NOUN_NUM+NSUFF_MASC_DU_NOM	17
PART	NEG_PART	17
PROPN	PV+PVSUFF_SUBJ:1P	17
VERB	IV1S+IV_PASS+IVSUFF_MOOD:S	17
VERB	PV+PVSUFF_SUBJ:2MP	17
ADJ	DET+NOUN+CASE_DEF_ACC	16
ADP	PUNC	16
NOUN	DET+ADJ+NSUFF_MASC_DU_ACC	16
NUM	DET+NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_ACC	16
NUM	NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_ACC	16
PRON	POSS_PRON_2FS	16
PROPN	DET+NOUN+CASE_DEF_GEN	16
PROPN	NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	16
PUNCT	DET+NOUN+CASE_DEF_GEN	16
ADJ	CONJ	15
ADP	JUS_PART	15
NOUN	NOUN_NUM+CASE_INDEF_GEN	15
NOUN	NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_ACC	15
NUM	NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_NOM	15
NUM	NOUN_NUM+NSUFF_MASC_PL_NOM	15
PROPN	IV3MS+IV+IVSUFF_MOOD:J	15
AUX	IV1P+IV+IVSUFF_MOOD:I	14
NOUN	ADJ+CASE_DEF_ACC	14
NOUN	DET+ADJ+NSUFF_MASC_PL_ACC	14
NOUN	NOUN_NUM	14
PART	EMPHATIC_PART	14
PRON	CONJ	14
VERB	IV2MS+IV_PASS+IVSUFF_MOOD:I	14
VERB	IV3FP+IV+IVSUFF_SUBJ:FP	14
X	ADJ	14
ADJ	NOUN+CASE_DEF_GEN	13
NOUN	ADJ+NSUFF_FEM_SG+CASE_INDEF_NOM	13
NOUN	DET+ADJ_NUM+NSUFF_MASC_PL_GEN	13
NOUN	TyPO	13
PROPN	PV+PVSUFF_SUBJ:3MP	13
PUNCT	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_GEN	13
VERB	IV2MS+IV_PASS+IVSUFF_MOOD:S	13
VERB	IV2MS+IV+IVSUFF_MOOD:J	13
ADJ	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	12
ADJ	PUNC	12
CCONJ	TyPO	12
NOUN	DET+NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_GEN	12
PRON	NOUN_QUANT+CASE_DEF_GEN	12
PRON	TyPO	12
PROPN	CONJ	12
PROPN	IV1P+IV+IVSUFF_MOOD:S	12
PROPN	IV2MS+IV+IVSUFF_MOOD:S	12
PROPN	PUNC	12
PROPN	PV+PVSUFF_SUBJ:2MS	12
ADJ	DET+ADJ+NSUFF_FEM_DU_NOM	11
ADJ	DET+NOUN_NUM+NSUFF_MASC_PL_GEN	11
ADJ	NOUN+NSUFF_MASC_PL_ACC	11
CCONJ	DET+NOUN+CASE_DEF_GEN	11
NOUN	SUB_CONJ	11
PRON	NOUN+CASE_DEF_ACC	11
VERB	IV2FS+IV+IVSUFF_SUBJ:2FS_MOOD:SJ	11
VERB	TyPO	11
X	NOUN+NSUFF_FEM_SG	11
ADJ	ADJ_NUM+CASE_INDEF_NOM	10
ADJ	DET+NOUN_NUM+CASE_DEF_ACC	10
ADP	PV+PVSUFF_SUBJ:3MS	10
AUX	IV1S+IV+IVSUFF_MOOD:S	10
CCONJ	PSEUDO_VERB	10
NOUN	ADJ+NSUFF_FEM_SG+CASE_DEF_ACC	10
NOUN	NOUN_NUM+CASE_INDEF_ACC	10
NOUN	NOUN_QUANT+NSUFF_FEM_SG+CASE_INDEF_GEN	10
NUM	DET+NOUN_NUM+NSUFF_MASC_PL_GEN	10
NUM	NOUN_NUM+NSUFF_FEM_DU_GEN_POSS	10
NUM	NOUN_NUM+NSUFF_MASC_DU_ACC	10
PRON	REL_PRON+CASE_INDEF_ACC	10
PROPN	NOUN+NSUFF_MASC_PL_NOM_POSS	10
PUNCT	NOUN_PROP	10
VERB	NOUN+CASE_DEF_ACC	10
X	IV2MS+IV+IVSUFF_MOOD:S	10
ADJ	NOUN_NUM+CASE_DEF_GEN	9
NOUN	ADJ+NSUFF_FEM_PL+CASE_INDEF_GEN	9
