sourceNormalizedLemma	targetNormalizedLemma	sourceEntryId	targetEntryId	synsetId	partOfSpeech
19 يناير	عيد ميلاد روبرت اي لي	awn4-e3995fe82d9d5	awn4-e520a3d6eb1c6	awn4-15207404-n	n
2 فبراير	عيد الشموع	awn4-e4ed3dbbeeeae	awn4-e736bea02563b	awn4-15211516-n	n
2 فبراير	يوم جرذ الارض	awn4-e4ed3dbbeeeae	awn4-e5b2b7417d9ca	awn4-15211706-n	n
2 مارس	يوم استقلال تكساس	awn4-e7dce5685562d	awn4-e820ca2842979	awn4-15212635-n	n
2 نوفمبر	عيد جميع الموتي	awn4-e1713d991bc39	awn4-e8e03c35b4fcd	awn4-15220312-n	n
20 يناير	عشية القديسة اغنيس	awn4-e4dd826f3790b	awn4-ed94c231e6f23	awn4-15210556-n	n
20 يناير	يوم التنصيب	awn4-e4dd826f3790b	awn4-e5d5cc3d83435	awn4-15184225-n	n
20/20	عشرون علي عشرين	awn4-ef8d74ad933d4	awn4-eec10d309e901	awn4-05663655-n	n
22 فبراير	عيد ميلاد واشنطن	awn4-edbb10de3cd76	awn4-ef8f5f507e4e4	awn4-15212286-n	n
23 يونيو	ليلة منتصف الصيف	awn4-e62f652b2dd3b	awn4-ee2fd64076d85	awn4-15247165-n	n
24 اكتوبر	يوم الامم المتحدة	awn4-e4d14919d9fdf	awn4-e760153b3815e	awn4-15215915-n	n
24 ديسمبر	ليلة عيد الميلاد	awn4-e3540dde75a54	awn4-edd064fcbc65e	awn4-15221279-n	n
24 مايو	يوم الكومنولث	awn4-ecf1b8be4705a	awn4-e2c2fe5be8990	awn4-15224999-n	n
24 يونيو	يوم منتصف الصيف	awn4-e423fd3286d81	awn4-ef0ebacdb4f02	awn4-15246998-n	n
25 مارس	عيد البشارة	awn4-eb95105aea29b	awn4-e55824c42c4a1	awn4-15210982-n	n
28 ديسمبر	عيد الابرياء	awn4-e47ba3a1d8dfc	awn4-e674f78ebdac4	awn4-15216951-n	n
29 سبتمبر	عيد القديس ميخائيل	awn4-e1da36e4db809	awn4-ec408c7da1143	awn4-15211247-n	n
29 فبراير	يوم كبيس	awn4-e29946ad3c714	awn4-e9e9ab7085d8a	awn4-15184386-n	n
29 يونيو	عيد بطرس وبولس	awn4-e070cf55c5d1f	awn4-e44493135bcbc	awn4-15218611-n	n
3 يونيو	عيد ميلاد جيفرسون ديفيس	awn4-ed377453dce7b	awn4-eac2abe27378d	awn4-15214519-n	n
31 ديسمبر	ليلة راس السنة	awn4-ee364c02d1520	awn4-e0d0ef3148682	awn4-15206888-n	n
3D	ثلاثي الابعاد	awn4-eea49b67e2512	awn4-ee8eb210d59ce	awn4-06631444-n	n
6 اغسطس	عيد التجلي	awn4-ec653e39254bc	awn4-eba686229dccf	awn4-15324610-n	n
6 يناير	عيد الغطاس	awn4-eca0e67e53778	awn4-e0c77d78dad66	awn4-15219341-n	n
8 ديسمبر	عيد الحبل بلا دنس	awn4-e0c27e0af826e	awn4-e3543d0e3a034	awn4-15220094-n	n
8 مايو 1945	يوم النصر في اوروبا	awn4-e1f0d492afef6	awn4-ecd4a6e1541e5	awn4-15187811-n	n
A	ديوكسي ادينوسين احادي الفوسفات	awn4-eaf10a242f1d1	awn4-e543c1e193e1f	awn4-14853735-n	n
ADP	ادينوسين ثنائي الفوسفات	awn4-e3a7d1e195b3f	awn4-ed312151e467e	awn4-14732064-n	n
ALGOL	الغول	awn4-ef50295164743	awn4-e5fa980b0b526	awn4-06914540-n	n
AM	تضمين السعة	awn4-e22e6f13eeb22	awn4-e9eeb2c138ec4	awn4-06292247-n	n
AMP	ادينوسين احادي الفوسفات	awn4-e2455c8a9a449	awn4-e143d6dcca039	awn4-14731871-n	n
ASL	لغة الاشارة الامريكية	awn4-e20e72064d1e9	awn4-e6b0d2575e81d	awn4-06889057-n	n
ATM	وضع النقل غير المتزامن	awn4-e74ecceba99d0	awn4-e7ff5c6024e56	awn4-06289724-n	n
ATP	ادينوسين ثلاثي الفوسفات	awn4-ea4f509e7f2ec	awn4-ebc8301cb5e1e	awn4-14732203-n	n
BASIC	بيسك	awn4-eca84511dbcd9	awn4-e53a81b21d2b9	awn4-06915685-n	n
C	ديوكسي سيتيدين احادي الفوسفات	awn4-e8262aa37ff99	awn4-e1fd9bf9ae731	awn4-14853935-n	n
C	سي	awn4-e8262aa37ff99	awn4-ec8d50481a3cf	awn4-06915472-n	n
CBC	تعداد الدم الكامل	awn4-e032151458361	awn4-ecdcfbcd87e07	awn4-00654218-n	n
cDNA	حمض نووي مكمل	awn4-e3ebab750890f	awn4-ea9b4897dee79	awn4-14841069-n	n
CFTR	منظم موصلية التليف الكيسي	awn4-e7df6f5330757	awn4-e48bdc6344da6	awn4-05447386-n	n
COBOL	كوبول	awn4-e59b31bc6922e	awn4-e3736b261c2c0	awn4-06915387-n	n
DNA	حمض نووي ريبوزي منقوص الاكسجين	awn4-e5993a00e5573	awn4-e8be141d590f0	awn4-14854534-n	n
FAT	جدول تخصيص الملفات	awn4-e4d553f8e4292	awn4-eaa0bd1db2f4d	awn4-08284118-n	n
FLIP	بروتوكول الانترنت المحلي السريع	awn4-e3fdb389e18d4	awn4-e7f1509d6a3d3	awn4-92448268-n	n
FM	تضمين التردد	awn4-e12ff671aeb1e	awn4-e08cc8164fc52	awn4-06292374-n	n
fMRI	رنين مغناطيسي وظيفي	awn4-e716469b0b5d0	awn4-eebf1ae0eb1a6	awn4-00904455-n	n
FORTRAN	فورتران	awn4-eb9b795476e5b	awn4-e490b8fc0a513	awn4-06915138-n	n
FSH	الهرمون المنبه للجريب	awn4-e2df0c422a843	awn4-e953a36b49295	awn4-14772944-n	n
FTP	بروتوكول نقل الملفات	awn4-ecf1e0c1c9726	awn4-e22cdd5506c89	awn4-06678115-n	n
G	ديوكسي غوانوسين احادي الفوسفات	awn4-e0e1fed95def4	awn4-e9e6dfe2da70d	awn4-14854134-n	n
HCG	موجهة الغدد التناسلية المشيمائية البشرية	awn4-e0ac2d93a8283	awn4-e798367ede0c0	awn4-14773209-n	n
HMO	منظمة الحفاظ علي الصحة	awn4-ea854df86ce9a	awn4-ec2261e4921ba	awn4-13370223-n	n
HTML	لغة ترميز النص التشعبي	awn4-ed094e4246409	awn4-e16ac246ca634	awn4-06801119-n	n
HTTP	بروتوكول نقل النص التشعبي	awn4-ecc10f6db87e2	awn4-ed3d9ca589829	awn4-06678592-n	n
IgA	الغلوبولين المناعي ا	awn4-ea9b0cd9e423c	awn4-ed1997832b55a	awn4-15055420-n	n
IgD	الغلوبولين المناعي د	awn4-ebc8f338bab84	awn4-ed95958e77bce	awn4-15055640-n	n
IgE	الغلوبولين المناعي ه	awn4-ebe0b57a7d83a	awn4-eb45d5e1196f1	awn4-15055798-n	n
IgG	الغلوبولين المناعي ج	awn4-ea28ae9423e76	awn4-e893edc0803e6	awn4-15056272-n	n
IgM	الغلوبولين المناعي م	awn4-edeb30878f2dc	awn4-ea0c9fe5b6a5b	awn4-15056433-n	n
Java	جافا	awn4-e82c564e6cea2	awn4-e150896a03004	awn4-06913829-n	n
LH	الهرمون الملوتن	awn4-ec438f204dc1c	awn4-e1cb81ae30956	awn4-14773451-n	n
LISP	ليسب	awn4-ed858b652409b	awn4-ebaf9578dcaff	awn4-06914712-n	n
LP	اسطوانة طويلة التشغيل	awn4-e027d16ae5905	awn4-efdd403fd4e24	awn4-03699965-n	n
M1	عروض النقود ن1	awn4-e358989753073	awn4-ec13ca47d7832	awn4-13378583-n	n
M2	عروض النقود ن2	awn4-eabc45796b07c	awn4-e82739538b6e8	awn4-13378745-n	n
M3	عروض النقود ن3	awn4-e0a2a93cb7a18	awn4-e4e804223d6a2	awn4-13378893-n	n
MMPI	اختبار مينيسوتا متعدد الاوجه للشخصية	awn4-ea876935a950a	awn4-e107c35a3735f	awn4-06487260-n	n
MPEG	مبيغ	awn4-e0b9a80e23b2f	awn4-efa285fa5fc8e	awn4-00617638-n	n
MRI	تصوير بالرنين المغناطيسي	awn4-e8d85a0de9f81	awn4-edb93c3d6f77e	awn4-00904277-n	n
mRNA	حمض نووي ريبوزي رسول	awn4-ed39778b0c6ee	awn4-e71e09e50763a	awn4-14856940-n	n
NAND	بوابة نفي و	awn4-e359e5d0508ac	awn4-ea78d26bbaf81	awn4-03812288-n	n
nRNA	حمض نووي ريبوزي نووي	awn4-efe34725b684e	awn4-ed7fbc208c842	awn4-14857197-n	n
NSAID	مضاد التهاب غير ستيرويدي	awn4-efc2adc364a21	awn4-e67d9586294f8	awn4-03834005-n	n
OLED	صمام ثنائي عضوي باعث للضوء	awn4-ea522823d6ecf	awn4-e927408b8563c	awn4-03860026-n	n
OR	بوابة او	awn4-e55a81bd875c4	awn4-ee47b75e013af	awn4-03858974-n	n
Pascal	باسكال	awn4-e69688558faff	awn4-e9abc31140b19	awn4-06915891-n	n
PAYE	نظام الدفع عند الكسب	awn4-ecde8e400abec	awn4-e09e9b38ac886	awn4-13332595-n	n
PET	تصوير مقطعي بالاصدار البوزيتروني	awn4-e4f5f9e96492f	awn4-ecb1aaa63c808	awn4-00904074-n	n
PSA	مستضد البروستاتا النوعي	awn4-ef12e4d47b552	awn4-e1913e7cc7139	awn4-14760689-n	n
Python	بايثون	awn4-e75016ad5be91	awn4-eaefd230fde23	awn4-83541804-n	n
RBI	ركضة مدفوعة بضربة	awn4-ef0dc5207ec0a	awn4-e79c329c55888	awn4-00191029-n	n
Rh سالب	فصيلة دم ريسوس سالب	awn4-eb16ea885e35a	awn4-e5af0efd9e9db	awn4-05408930-n	n
Rh موجب	فصيلة دم ريسوس موجب	awn4-e8689918f5e68	awn4-e3727d3666ca6	awn4-05408754-n	n
RNA	حمض نووي ريبوزي	awn4-eb42253de0be2	awn4-e2642211a9ab8	awn4-14856363-n	n
RP	النطق المستلم	awn4-eec08bc4c8371	awn4-eb16a3c809524	awn4-06961158-n	n
SCSI	واجهة نظام الحاسوب الصغيرة	awn4-e213fb5a0136c	awn4-e95c9cca7d630	awn4-04252346-n	n
SOS	اشارة استغاثة	awn4-e5adc2e963641	awn4-e8b3a8fcb9658	awn4-06816703-n	n
SOS	سوس	awn4-e5adc2e963641	awn4-ec39445ec7297	awn4-06816703-n	n
SSRI	مثبط استرداد السيروتونين الانتقائي	awn4-ee29330f2c1f1	awn4-e659b81849323	awn4-04176213-n	n
SUV	سيارة رياضية متعددة الاغراض	awn4-e621a504ec714	awn4-e7b62e420a081	awn4-04293103-n	n
T	ديوكسي ثيميدين احادي الفوسفات	awn4-ec747cb9075a4	awn4-e784d1031a4df	awn4-14854334-n	n
TAT	اختبار تفهم الموضوع	awn4-e9983c79a3591	awn4-e7dc6c04a5191	awn4-01010039-n	n
TCP	بروتوكول التحكم بالنقل	awn4-e90369a4d49e9	awn4-e4d6d98fee73a	awn4-06678955-n	n
TCP/IP	مجموعة بروتوكولات الانترنت	awn4-e31f5493bbef9	awn4-ebe587b09564e	awn4-06679231-n	n
tRNA	حمض نووي ريبوزي ناقل	awn4-eddc0afcff584	awn4-e7b385ea77640	awn4-14857313-n	n
ائتلاف	اندماج	awn4-e4ac9a570cddb	awn4-e92c6903f3d5e	awn4-14442066-n	n
ائتلاف	تحالف	awn4-e4ac9a570cddb	awn4-e1233c5821f7d	awn4-08310903-n	n
ائتلاف	تكتل	awn4-e4ac9a570cddb	awn4-e0f016abdac1b	awn4-07981109-n	n
ائتلاف تجاري	كونسورتيوم	awn4-e05116f54b132	awn4-e8503bb5f0532	awn4-08253359-n	n
ائتمان	امانة	awn4-e0a5d3f04a8ee	awn4-e3f98fbd33d23	awn4-13381671-n	n
ائتمان	دفع مؤجل	awn4-e0a5d3f04a8ee	awn4-e4b746c61e3b4	awn4-13395454-n	n
ائتمان	صندوق ائتماني	awn4-e0a5d3f04a8ee	awn4-e0747ef6ca94d	awn4-13381671-n	n
ائتمان المانح	ائتمان كليفورد	awn4-e4736eae789af	awn4-eed86d7cb7236	awn4-13382797-n	n
ائتمان انشائي	ائتمان حكمي	awn4-efe86ddadcc22	awn4-e01713d8f430a	awn4-13383135-n	n
ائتمان بالتقسيط	قرض تقسيط	awn4-ef2192d79e1a0	awn4-e74eb85a45096	awn4-13396340-n	n
ائتمان بين الاحياء	ائتمان حي	awn4-e9600885ef55f	awn4-ef19dcef379b2	awn4-13384091-n	n
ائتمان توتن	ائتمان حساب التوفير	awn4-e7a5364e80857	awn4-e6b973efc8729	awn4-13384538-n	n
ائتمان حساب التوفير	ائتمان توتن	awn4-e6b973efc8729	awn4-e7a5364e80857	awn4-13384538-n	n
ائتمان حكمي	ائتمان انشائي	awn4-e01713d8f430a	awn4-efe86ddadcc22	awn4-13383135-n	n
ائتمان حي	ائتمان بين الاحياء	awn4-ef19dcef379b2	awn4-e9600885ef55f	awn4-13384091-n	n
ائتمان خيري	وقف خيري	awn4-e0da28f2ae78e	awn4-e1f11fdc2f134	awn4-13382638-n	n
ائتمان صريح	ائتمان مباشر	awn4-eb3e3a9e5116b	awn4-e55464be89199	awn4-13383520-n	n
ائتمان كليفورد	ائتمان المانح	awn4-eed86d7cb7236	awn4-e4736eae789af	awn4-13382797-n	n
ائتمان مباشر	ائتمان صريح	awn4-e55464be89199	awn4-eb3e3a9e5116b	awn4-13383520-n	n
ائتمان متجدد	ائتمان مفتوح	awn4-e0ccab6f56ff7	awn4-e8d1692226bcc	awn4-13396496-n	n
ائتمان مفتوح	ائتمان متجدد	awn4-e8d1692226bcc	awn4-e0ccab6f56ff7	awn4-13396496-n	n
ائتمان منخفض الفائدة	مال رخيص	awn4-e71bf27478831	awn4-e531a635d2517	awn4-13399890-n	n
ائتمن	استودع	awn4-edd17bc34b080	awn4-e5176d2ef4aee	awn4-02354208-v	v
ائتمن	عهد ب	awn4-edd17bc34b080	awn4-e73fc18292691	awn4-02354208-v	v
ائتمن	وثق ب	awn4-edd17bc34b080	awn4-ed217ffe0982e	awn4-02487408-v	v
اب	ابونا	awn4-eb4c3948afbd1	awn4-ea4df7d030e86	awn4-10100973-n	n
اب	اغسطس	awn4-eca7a4e125483	awn4-e8cd7ec2418ac	awn4-15237251-n	n
اب	فحل	awn4-eb4c3948afbd1	awn4-e7c28679527ae	awn4-01325996-n	n
اب	والد	awn4-eb4c3948afbd1	awn4-e90f18e93ecb8	awn4-10100638-n	n
اب بالتبني	اب حاضن	awn4-edf446daf79ad	awn4-e16fffcce4037	awn4-10126156-n	n
اب تاون	حي سكني راق	awn4-e82faba58566f	awn4-e13b150f0e282	awn4-08571743-n	n
اب حاضن	اب بالتبني	awn4-e16fffcce4037	awn4-edf446daf79ad	awn4-10126156-n	n
اب رسولي	رسول	awn4-e0f87fbdb51b2	awn4-ed12276da572a	awn4-09818636-n	n
اب مؤسس	مؤسس	awn4-e3f0b4297ae0d	awn4-ef9f1525874c1	awn4-10127072-n	n
اب مؤسس	وجيه	awn4-e3f0b4297ae0d	awn4-ecdfcc1e21ded	awn4-10101225-n	n
ابابيات	هيدريات	awn4-ee40f80d59a51	awn4-eb487bf2b8eb5	awn4-01914480-n	n
اباتوصور	برونتوصور	awn4-e9cb2ecd28621	awn4-e146ffb5dce48	awn4-01712125-n	n
اباتوصور	سحلية الرعد	awn4-e9cb2ecd28621	awn4-efc04f01a9098	awn4-01712125-n	n
اباجورة	مصباح طاولة	awn4-e8320d5ce868e	awn4-e589cb2da0c78	awn4-04387620-n	n
اباحة	جواز	awn4-e650f0a6f01b1	awn4-e784dfd0ba44f	awn4-04800440-n	n
اباحة	مشروعية	awn4-e650f0a6f01b1	awn4-e7de15c862ab8	awn4-04817446-n	n
اباحي	متساهل	awn4-e7050986e6118	awn4-e1a028fadff7e	awn4-01767351-a	a
اباحي	معارض للناموس	awn4-e71337a06bf39	awn4-e78cfee0d51a9	awn4-09816698-n	n
اباحية	ادب مكشوف	awn4-e9baaa8d11a73	awn4-e9416f8d2a560	awn4-00748513-n	n
اباحية	تحرر مفرط	awn4-e9baaa8d11a73	awn4-e6f2fc80cb9b8	awn4-14018863-n	n
اباحية	تحلل	awn4-e9baaa8d11a73	awn4-e805064f85833	awn4-92423539-n	n
اباحية	تساهل	awn4-e9baaa8d11a73	awn4-ee67747494a7d	awn4-92449466-n	n
اباحية	خلاعة	awn4-e9baaa8d11a73	awn4-e50fa56a54d4a	awn4-04858946-n	n
اباحية	علاقات متعددة	awn4-e9baaa8d11a73	awn4-eba6656d07889	awn4-00857971-n	n
اباحية	فجور	awn4-e9baaa8d11a73	awn4-eda85b6b0c070	awn4-00857971-n	n
اباحية	فجور	awn4-e9baaa8d11a73	awn4-eda85b6b0c070	awn4-04858946-n	n
اباحية	فلتان	awn4-e9baaa8d11a73	awn4-e80406678be5f	awn4-14018863-n	n
اباحية	مجون	awn4-e9baaa8d11a73	awn4-e3222fdcc2d0e	awn4-04858946-n	n
اباحية	مواد اباحية	awn4-e9baaa8d11a73	awn4-e9ceff19d6dcf	awn4-00748513-n	n
اباحية دينية	انتينومية	awn4-eff3f063ea6dd	awn4-e0881bd222daa	awn4-06196889-n	n
اباد	افني	awn4-eefb4369bcf8a	awn4-ec1726bd668ea	awn4-00471632-v	v
اباد	قضي علي	awn4-eefb4369bcf8a	awn4-ecb72a8d94956	awn4-00471632-v	v
اباد	محا	awn4-eefb4369bcf8a	awn4-ef8c733f94e4c	awn4-00480322-v	v
اباد	محا	awn4-eefb4369bcf8a	awn4-ef8c733f94e4c	awn4-01624256-v	v
اباد جماعيا	ذبح	awn4-e19bb342ffdf0	awn4-e5f8ad3d27bd0	awn4-00480107-v	v
ابادة	انقراض	awn4-e562c794cc5c5	awn4-e329c61044649	awn4-07347291-n	n
ابادة	تصفية	awn4-e562c794cc5c5	awn4-e3060e6b991ce	awn4-01247608-n	n
ابادة	طمس	awn4-e562c794cc5c5	awn4-e852ff5a86d32	awn4-00219075-n	n
ابادة	محق	awn4-e562c794cc5c5	awn4-e15e3fdec37ef	awn4-00219075-n	n
ابادة	محق	awn4-e562c794cc5c5	awn4-e15e3fdec37ef	awn4-07345428-n	n
ابادة الحشرات	تطهير من الافات	awn4-e445ee8038167	awn4-ea804351a5fdf	awn4-00252387-n	n
ابادة جماعية	تطهير عرقي	awn4-e6527f182b3ba	awn4-eeddae323a85d	awn4-01247706-n	n
اباراتشيك	بيروقراطي حزبي	awn4-e5ddb363e6bb6	awn4-e890be04fe323	awn4-09819479-n	n
اباراتشيك	موظف حزبي	awn4-e5ddb363e6bb6	awn4-e3006a180619f	awn4-09819343-n	n
ابارتايد	فصل عنصري	awn4-ee0c76a992fd8	awn4-ede2853cfc447	awn4-06671913-n	n
اباضة	تبويض	awn4-ec77c8de89a84	awn4-e3afcf90a10d9	awn4-13551440-n	n
اباكا	قنب مانيلا	awn4-e59579892fc25	awn4-e4a3e643835a3	awn4-12373948-n	n
اباكا	قنب مانيلا	awn4-e59579892fc25	awn4-e4a3e643835a3	awn4-14971696-n	n
اباكوس	تاج العمود	awn4-e29e24ea95a50	awn4-e3fc600196f4f	awn4-02668977-n	n
ابالي	اكترث	awn4-eaf49207dd42f	awn4-eff3a0794cd54	awn4-01827099-v	v
ابالي	اهتم	awn4-eaf49207dd42f	awn4-e01653f61118a	awn4-01827099-v	v
ابان	اوج	awn4-e36ec77ba19be	awn4-ef58d7a16012d	awn4-15320288-n	n
ابان	ذروة	awn4-e36ec77ba19be	awn4-e591fdd4ad67d	awn4-15320288-n	n
ابان	ريعان	awn4-e36ec77ba19be	awn4-e41f39d836536	awn4-15320288-n	n
ابتاع	اشتري	awn4-e5fce53de59b2	awn4-e9ef90100670d	awn4-02211988-v	v
ابتدا	بدا	awn4-eb57649bcae45	awn4-eb3e0d897e205	awn4-02614382-v	v
ابتدا	بدا	awn4-eb57649bcae45	awn4-eb3e0d897e205	awn4-02615238-v	v
ابتداء	استحداث	awn4-ed2297b4d215a	awn4-e61c236c471ac	awn4-00241051-n	n
ابتداء	انشاء	awn4-ed2297b4d215a	awn4-ec7d34f1bbae2	awn4-00241051-n	n
ابتداء	تاسيس	awn4-ed2297b4d215a	awn4-edeeaf2256fa4	awn4-00241051-n	n
ابتدائي	انطلاقي	awn4-eba87be8300db	awn4-eb4427460a46f	awn4-01013462-s	s
ابتدائي	اولي	awn4-eefe72b46654b	awn4-e55cd70802e4f	awn4-02730421-a	a
ابتدع	تفتق ذهنه عن	awn4-e840f2c04c7d6	awn4-ead5f80983764	awn4-01637684-v	v
ابتدع	دبر	awn4-e840f2c04c7d6	awn4-e125c8fb58ff2	awn4-01637684-v	v
ابتذال	اسفاف	awn4-e49dd2dce1689	awn4-ee046ec7b40f8	awn4-07082088-n	n
ابتذال	تعميم	awn4-e49dd2dce1689	awn4-e905e20832e1e	awn4-00273921-n	n
ابتذال	رتابة	awn4-e3fa32bbd2a0c	awn4-ee86cafa05aa7	awn4-04803127-n	n
ابتذال	رخص	awn4-e3fa32bbd2a0c	awn4-ec188b0becd78	awn4-04825691-n	n
ابتذال	سوقية	awn4-e3fa32bbd2a0c	awn4-e24a261773673	awn4-04824511-n	n
ابتذال	سوقية	awn4-e49dd2dce1689	awn4-e643f5c47af28	awn4-92427488-n	n
ابتذال	عاطفية مبتذلة	awn4-e49dd2dce1689	awn4-e8ac45680f06a	awn4-07497407-n	n
ابتذال	عامية	awn4-e49dd2dce1689	awn4-efe3c83d30a17	awn4-92427488-n	n
ابتذال	فظاظة	awn4-e3fa32bbd2a0c	awn4-e7ceafac7207b	awn4-04824511-n	n
ابتذال	نشر	awn4-e49dd2dce1689	awn4-ea753bc3d3bab	awn4-00273921-n	n
ابتذال عاطفي	عاطفية مفرطة	awn4-ebc8edc7c1748	awn4-e3d77f6818425	awn4-04634863-n	n
ابتذال لغوي	استخدام العامية	awn4-e197fd5a8b776	awn4-e63d41afa4bb3	awn4-04919683-n	n
ابتذل نفسه	باع مبادئه	awn4-e614e73b8619b	awn4-e6dbc5c5f073f	awn4-01037919-v	v
ابتر	عديم الذيل	awn4-ea4e6e0899f47	awn4-ec08b29f60675	awn4-00321745-a	a
ابتر	قصير الذيل	awn4-e32d6699df5b3	awn4-e3e0edb786c96	awn4-00320749-s	s
ابتر	مبتور الطرف	awn4-e948944bb6199	awn4-ed846d69a435c	awn4-09809007-n	n
ابتر	منقوص الوزن	awn4-ea4e6e0899f47	awn4-e828fd75790ad	awn4-00318980-a	a
ابتر اليدين	بلا يد	awn4-e0f2cf420b033	awn4-e75c9d263bcd4	awn4-02035641-a	a
ابتز	استنزف	awn4-eb6ac7572463d	awn4-ea26ce66c0007	awn4-02365002-v	v
ابتز	انتزع	awn4-eb6ac7572463d	awn4-e32afa081063e	awn4-01634293-v	v
ابتز	انتزع	awn4-eb6ac7572463d	awn4-e32afa081063e	awn4-02245889-v	v
ابتز	ضغط	awn4-eb6ac7572463d	awn4-ec5944d2a7502	awn4-02587158-v	v
ابتز	ضغط للحصول علي	awn4-e65d490a25825	awn4-eace572aa823a	awn4-02511717-v	v
ابتز ب	هدد ب	awn4-e779418a1bf53	awn4-ec2a674eff002	awn4-01785206-v	v
ابتزاز	جباية	awn4-ef6330da456a3	awn4-ef8a7c9e3516b	awn4-01063450-n	n
ابتزاز الاسهم	غرين ميل	awn4-e2e234ccbac00	awn4-e1f65bce98a5f	awn4-00176901-n	n
ابتزاز منظم	اعمال العصابات	awn4-e5c165c9d0e45	awn4-e53e43ebf9594	awn4-00777662-n	n
ابتسار	سابق لاوانه	awn4-ef1ed3bbfd302	awn4-ec39540964c05	awn4-14450140-n	n
ابتسار	قبل الاوان	awn4-ef1ed3bbfd302	awn4-ec8ff9773695f	awn4-14450140-n	n
ابتسامة ساخرة	ابتسامة متكلفة	awn4-eb64ac8c79382	awn4-e8430a345657a	awn4-06891630-n	n
ابتسامة متكلفة	ابتسامة ساخرة	awn4-e8430a345657a	awn4-eb64ac8c79382	awn4-06891630-n	n
ابتسم ابتسامة عريضة	كشر عن انيابه (مبتسما)	awn4-e921ce8ccc6fb	awn4-e6e177bcff951	awn4-00029018-v	v
ابتسم باشراق	تهلل	awn4-efc2a5152a887	awn4-ebc714180821d	awn4-01069402-v	v
ابتسم بتكلف	ابتسم بخبث	awn4-e1fb69efc00e4	awn4-e042620d99d83	awn4-00029329-v	v
ابتسم بخبث	ابتسم بتكلف	awn4-e042620d99d83	awn4-e1fb69efc00e4	awn4-00029329-v	v
ابتع	عديم الاصابع	awn4-e65094671bf40	awn4-e3406da4373d5	awn4-02613652-a	a
ابتعاد	انحسار	awn4-e81c9bd484f55	awn4-e568b7483cdd0	awn4-00058306-n	n
ابتعاد	تراجع	awn4-e81c9bd484f55	awn4-ed295e6140b7c	awn4-00058306-n	n
ابتعد	اختلي	awn4-e1e7651f4c39e	awn4-e99303030351b	awn4-02096743-v	v
ابتعد	تجنب	awn4-e01959e1547c9	awn4-eb0d183b8cee6	awn4-02661794-v	v
ابتعد	هرب	awn4-e1e7651f4c39e	awn4-e0638aa7c6cc8	awn4-02605001-v	v
ابتعد عن	تجنب	awn4-ea8226697e96a	awn4-eb0d183b8cee6	awn4-01192356-v	v
ابتكار	ابداع	awn4-e3f0441eb21e1	awn4-e869fd7c414b4	awn4-03133774-n	n
ابتكار	ابداع	awn4-e3f0441eb21e1	awn4-e869fd7c414b4	awn4-05632483-n	n
