entityId	languageTag	label	description	typeId	typeLabel	sitelinks	enwikiUrl
Q10266010	en	Tenharim	language	Q34770	language	2	
Q10266012	en	Uru-eu-wau-wau	language	Q34770	language	4	https://en.wikipedia.org/wiki/Uru-Eu-Wau-Wau_dialect
Q102682	en	Abdulino	town in Russia	Q515	city	51	https://en.wikipedia.org/wiki/Abdulino
Q1027	en	Mauritius	island sovereign state off of East Africa in the Indian Ocean	Q6256	country	281	https://en.wikipedia.org/wiki/Mauritius
Q102737	en	Agidel	town in Russia	Q515	city	62	https://en.wikipedia.org/wiki/Agidel
Q1028	en	Morocco	sovereign state in North Africa	Q6256	country	330	https://en.wikipedia.org/wiki/Morocco
Q1029	en	Mozambique	country in Southeastern Africa; the current form of Mozambique since 1975	Q6256	country	302	https://en.wikipedia.org/wiki/Mozambique
Q1030	en	Namibia	country in Southern Africa	Q6256	country	315	https://en.wikipedia.org/wiki/Namibia
Q103011	en	Corinth	seaside city in Peloponnese, Greece	Q515	city	96	https://en.wikipedia.org/wiki/Corinth_(modern_city)
Q1031803	en	Tor Vergata University of Rome	Italian university	Q3918	university	25	https://en.wikipedia.org/wiki/University_of_Rome_Tor_Vergata
Q1032	en	Niger	sovereign state in western Africa	Q6256	country	302	https://en.wikipedia.org/wiki/Niger
Q10322066	en	Karajá	Macro-Je language spoken in Brazil	Q34770	language	13	https://en.wikipedia.org/wiki/Karaj%C3%A1_language
Q10322118	en	Yawanawa	language	Q34770	language	4	https://en.wikipedia.org/wiki/Yawanawa_language
Q10322127	en	Lobedu language		Q34770	language	1	
Q10322149	en	Suruí do Pará	language	Q34770	language	5	https://en.wikipedia.org/wiki/Suru%C3%AD_do_Par%C3%A1_language
Q10322157	en	Tembé	language of Brazil	Q34770	language	2	
Q1032453	en	Hadramautic	language	Q34770	language	9	https://en.wikipedia.org/wiki/Hadramautic_language
Q1033	en	Nigeria	sovereign state in West Africa	Q6256	country	349	https://en.wikipedia.org/wiki/Nigeria
Q103474	en	2001: A Space Odyssey	1968 film by Stanley Kubrick	Q11424	film	90	https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey
Q103569	en	Alien	1979 film by Ridley Scott	Q11424	film	83	https://en.wikipedia.org/wiki/Alien_(film)
Q1036	en	Uganda	country in East Africa	Q6256	country	312	https://en.wikipedia.org/wiki/Uganda
Q1037	en	Rwanda	country in East Africa	Q6256	country	301	https://en.wikipedia.org/wiki/Rwanda
Q103717	en	Rovaniemi	city in the region of Lapland in Finland	Q515	city	110	https://en.wikipedia.org/wiki/Rovaniemi
Q103725	en	Hafnarfjörður	town of Iceland	Q515	city	84	https://en.wikipedia.org/wiki/Hafnarfj%C3%B6r%C3%B0ur
Q103892	en	Zabrze	city with powiat rights of Poland	Q515	city	79	https://en.wikipedia.org/wiki/Zabrze
Q1039	en	São Tomé and Príncipe	island sovereign state in Africa	Q6256	country	271	https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Q1039346	en	Shompen	language	Q34770	language	17	https://en.wikipedia.org/wiki/Shompen_language
Q10408315	en	Ami	endangered Australian Aboriginal language	Q34770	language	6	https://en.wikipedia.org/wiki/Ami_language_(Australia)
Q1041	en	Senegal	country on the coast of West Africa	Q6256	country	304	https://en.wikipedia.org/wiki/Senegal
Q104123	en	Pulp Fiction	1994 film by Quentin Tarantino	Q11424	film	107	https://en.wikipedia.org/wiki/Pulp_Fiction
Q1041765	en	Jopara	pidgin between Spanish and Guarani spoken in Paraguay	Q34770	language	13	https://en.wikipedia.org/wiki/Jopara
Q1042	en	Seychelles	island sovereign state off the eastern coast of Africa	Q6256	country	277	https://en.wikipedia.org/wiki/Seychelles
Q104224080	en	Mbessa	Ring language	Q34770	language	3	https://en.wikipedia.org/wiki/Mbessa_language
Q1042397	en	Mesa	programming language	Q9143	programming language	11	https://en.wikipedia.org/wiki/Mesa_(programming_language)
Q10425920	en	Bandjigali	language	Q34770	language	4	https://en.wikipedia.org/wiki/Pantyikali_dialect
Q10427485	en	Bayungu	language	Q34770	language	5	https://en.wikipedia.org/wiki/Bayungu_language
Q104302	en	Chorzów	city with powiat rights of Silesian Voivodeship, Poland	Q515	city	76	https://en.wikipedia.org/wiki/Chorz%C3%B3w
Q10433128	en	Borgarmålet	early 18th-century Swedish-based pidgin	Q34770	language	4	https://en.wikipedia.org/wiki/Borgarm%C3%A5let
Q1043515	en	Landsmål	written language standard for Norwegian created by Ivar Aasen	Q34770	language	10	https://en.wikipedia.org/wiki/Landsm%C3%A5l
Q1044	en	Sierra Leone	sovereign state in West Africa	Q6256	country	291	https://en.wikipedia.org/wiki/Sierra_Leone
Q10441336	en	Camtho	language	Q34770	language	3	
Q1045	en	Somalia	sovereign state in Africa	Q6256	country	322	https://en.wikipedia.org/wiki/Somalia
Q10465931	en	Dagoman	aboriginal language of Northern Territory, Australia	Q34770	language	3	
Q10467281	en	Dayi	Pama–Nyungan language in Australia	Q34770	language	3	
Q10470289	en	Dhargari	language	Q34770	language	3	
Q104712	en	Elbląg	place in Warmian-Masurian, Poland	Q515	city	76	https://en.wikipedia.org/wiki/Elbl%C4%85g
Q104720	en	Zielona Góra	City with powiat rights of Poland	Q515	city	82	https://en.wikipedia.org/wiki/Zielona_G%C3%B3ra
Q104725	en	Płock	city with powiat rights of Poland	Q515	city	74	https://en.wikipedia.org/wiki/P%C5%82ock
Q1047293	en	University of California, Santa Cruz	public University of California campus in Santa Cruz	Q3918	university	39	https://en.wikipedia.org/wiki/University_of_California,_Santa_Cruz
Q104731	en	Gorzów Wielkopolski	city with powiat rights in Poland	Q515	city	79	https://en.wikipedia.org/wiki/Gorz%C3%B3w_Wielkopolski
Q104740	en	Radom	city in east-central Poland (Masovian Voivodeship)	Q515	city	81	https://en.wikipedia.org/wiki/Radom
Q10474818	en	Djangun	extinct Australian Aboriginal language	Q34770	language	3	
Q104834820	en	Dana	Koman language of South Sudan	Q34770	language	2	https://en.wikipedia.org/wiki/Dana_language
Q104841730	en	Zala	Omotic language of Gamo-Gofa, Ethiopia	Q34770	language	2	https://en.wikipedia.org/wiki/Zala_language
Q104842001	en	Garandi	extinct Australian Aboriginal language	Q34770	language	2	https://en.wikipedia.org/wiki/Garandi_language
Q1048461	en	Flying University	former underground educational enterprise in Warsaw	Q3918	university	20	https://en.wikipedia.org/wiki/Flying_University
Q10488401	en	Erre	language	Q34770	language	4	
Q1049	en	Sudan	country in Northeast Africa	Q6256	country	332	https://en.wikipedia.org/wiki/Sudan
Q10495601	en	Nuclear Finnish		Q34770	language	1	
Q1049708	en	A#	programming language port	Q9143	programming language	13	https://en.wikipedia.org/wiki/A_Sharp_(.NET)
Q1050	en	Eswatini	sovereign state in southern Africa	Q6256	country	286	https://en.wikipedia.org/wiki/Eswatini
Q10502327	en	Gambera	language	Q34770	language	4	
Q105031	en	Home Alone	1990 film directed by Chris Columbus	Q11424	film	82	https://en.wikipedia.org/wiki/Home_Alone
Q105037	en	Callao	city and main seaport of Peru	Q515	city	76	https://en.wikipedia.org/wiki/Callao
Q105048	en	Słupsk	city in the Pomeranian Voivodeship, in the northern part of Poland	Q515	city	71	https://en.wikipedia.org/wiki/S%C5%82upsk
Q105060	en	Sosnowiec	city in the Dąbrowa Basin (the Lesser Poland part of the Silesian Voivodeship), Poland	Q515	city	87	https://en.wikipedia.org/wiki/Sosnowiec
Q105061442	en	Protactile	language used by deafblind people	Q34770	language	4	https://en.wikipedia.org/wiki/Protactile
Q105062703	en	Sabela	South African linguistic register	Q34770	language	2	https://en.wikipedia.org/wiki/Sabela
Q105084	en	Gliwice	city with powiat rights of Poland in Upper Silesia	Q515	city	85	https://en.wikipedia.org/wiki/Gliwice
Q105092416	en	Yãnoma	Yanomaman language	Q34770	language	3	https://en.wikipedia.org/wiki/Y%C3%A3noma_language
Q10510360	en	Gugu Badhun	language	Q34770	language	3	
Q10510745	en	Gumatj	Australian Aboriginal language variety	Q34770	language	6	
Q10510783	en	Gungabula	extinct Australian Aboriginal language	Q34770	language	3	
Q10511001	en	Gunya	extinct Australian Aboriginal language	Q34770	language	3	
Q10511004	en	Gupapuyngu	indigenous Australian language	Q34770	language	3	
Q10511016	en	Gurinji	Pama-Nyungan language spoken in Australia	Q34770	language	5	https://en.wikipedia.org/wiki/Gurindji_language
Q10511225	en	Guwamu	extinct Australian Aboriginal language	Q34770	language	3	
Q10511230	en	Guyani		Q34770	language	3	
Q105150962	en	Bauni	Skou language spoken in Papua New Guinea	Q34770	language	3	https://en.wikipedia.org/wiki/Bauni_language
Q105161535	en	Ruwila	Bantu language spoken in Tanzania	Q34770	language	1	https://en.wikipedia.org/wiki/Ruwila_language
Q105196606	en	Eastern Minyag		Q34770	language	1	https://en.wikipedia.org/wiki/Eastern_Minyag_language
Q105196607	en	Western Minyag		Q34770	language	1	https://en.wikipedia.org/wiki/Western_Minyag_language
Q105196677	en	Zula		Q34770	language	1	https://en.wikipedia.org/wiki/Zula_language
Q105198599	en	Mozambican Ngoni	Bantu language of the Nguni group spoken in Mozambique	Q34770	language	2	https://en.wikipedia.org/wiki/Mozambican_Ngoni_language
Q105198600	en	Tanzanian Ngoni		Q34770	language	2	https://en.wikipedia.org/wiki/Tanzanian_Ngoni_language
Q105198636	en	Koro Nulu	Plateau language of Nigeria	Q34770	language	2	https://en.wikipedia.org/wiki/Koro_Nulu_language
Q105198637	en	Koro Zuba	Nupoid language of Nigeria	Q34770	language	2	https://en.wikipedia.org/wiki/Koro_Zuba_language
Q105198681	en	Kadung		Q34770	language	1	https://en.wikipedia.org/wiki/Kadung_language
Q105198682	en	Bijim		Q34770	language	1	https://en.wikipedia.org/wiki/Bijim_language
Q105198683	en	Tiyaa		Q34770	language	1	https://en.wikipedia.org/wiki/Tiyaa_language
Q105198744	en	Kobo	Bantu language spoken in the Democratic Republic of the Congo	Q34770	language	2	https://en.wikipedia.org/wiki/Kobo_language
Q1052614	en	Utah State University	public university in Logan, Utah, United States	Q3918	university	27	https://en.wikipedia.org/wiki/Utah_State_University
Q105288428	en	Moundadan Chetty	Southern Dravidian language of India	Q34770	language	4	https://en.wikipedia.org/wiki/Maundadan_Chetti_language
Q105320180	en	Warekena Velha	Arawakan language	Q34770	language	2	https://en.wikipedia.org/wiki/Warekena_Velha_language
Q1053535	en	Processing	programming environment and graphics library	Q9143	programming language	32	https://en.wikipedia.org/wiki/Processing
Q10535532	en	Ingrian dialects	group of dialects of Finnish	Q34770	language	4	https://en.wikipedia.org/wiki/Ingrian_Finnish_dialects
Q105360304	en	Suansu	Tangkhulic language of Manipur, India	Q34770	language	3	https://en.wikipedia.org/wiki/Suansu_language
Q105394037	en	Namut-Nginamanu	Austronesian language spoken in Flores, Indonesia	Q34770	language	3	https://en.wikipedia.org/wiki/Namut%E2%80%93Nginamanu_language
Q10543322	en	Kanju	Australian Aboriginal language	Q34770	language	3	
Q1054365	en	INTERCAL	esoteric programming language	Q9143	programming language	25	https://en.wikipedia.org/wiki/INTERCAL
Q105453097	en	Missong	Southern Bantoid language of the Lower Fungom region of Cameroon	Q34770	language	3	https://en.wikipedia.org/wiki/Missong_language
Q10547021	en	Kokata	language	Q34770	language	5	https://en.wikipedia.org/wiki/Kokatha_dialect
Q10549839	en	Kukatja	language	Q34770	language	4	
Q10549849	en	Kuku-Muminh	language	Q34770	language	3	
Q10549851	en	Kuku-Mangk	language	Q34770	language	3	
Q10549852	en	Kuku-Mu'inh	language	Q34770	language	3	
Q10549854	en	Kuku-Ugbanh	language	Q34770	language	3	
Q10550183	en	Kunggara	language	Q34770	language	2	
Q10550184	en	Kunggari	extinct Australian Aboriginal language	Q34770	language	3	
Q10550697	en	Kuuku Ya'u	language	Q34770	language	3	
Q10551249	en	Kwini	language	Q34770	language	3	
Q1055287	en	Sani	language	Q34770	language	6	https://en.wikipedia.org/wiki/Sani_language
Q105582944	en	Ghorbati	dialect of Domari	Q34770	language	0	
Q1056057	en	QuickBASIC	programming language	Q9143	programming language	21	https://en.wikipedia.org/wiki/QuickBASIC
Q105627498	en	ǂUngkue	extinct ǃKwi language of Southern Africa	Q34770	language	3	https://en.wikipedia.org/wiki/%C7%82Ungkue_language
Q1056373	en	Gallaudet University	American university providing education for deaf and hard of hearing students	Q3918	university	32	https://en.wikipedia.org/wiki/Gallaudet_University
Q10566515	en	Ipiko	language	Q34770	language	6	https://en.wikipedia.org/wiki/Ipiko_language
Q105677219	en	Lung	southern Bantoid language of Cameroon	Q34770	language	2	https://en.wikipedia.org/wiki/Lung_language
Q1057199	en	Hokkaido University	national university in Sapporo, Hokkaido, Japan	Q3918	university	35	https://en.wikipedia.org/wiki/Hokkaido_University
Q10575155	en	Matngele	language	Q34770	language	4	https://en.wikipedia.org/wiki/Matngala_language
Q10575729	en	Malapandaram	language	Q34770	language	11	https://en.wikipedia.org/wiki/Malapandaram_language
Q10576334	en	Manchu-Tungus		Q34770	language	1	
Q10576338	en	Mandandanyi	extinct Australian Aboriginal language	Q34770	language	3	
Q10576387	en	Mangerr	language	Q34770	language	3	
Q10576453	en	Manna-Dora	language	Q34770	language	9	https://en.wikipedia.org/wiki/Manna-Dora_language
Q10577017	en	Margany	language	Q34770	language	4	
Q10577273	en	Maridan	Australian language	Q34770	language	5	
Q10577274	en	Maridjabin	language	Q34770	language	5	https://en.wikipedia.org/wiki/Marri_Tjevin
Q10577424	en	Marimanindji	language	Q34770	language	5	https://en.wikipedia.org/wiki/Marimanindji_language
Q10577443	en	Maringarr	language (excluding Marti Ke)	Q34770	language	4	
Q10577501	en	Mariyedi	language	Q34770	language	4	
Q10577724	en	Marriammu	language	Q34770	language	2	
Q10577823	en	Marti Ke	language	Q34770	language	5	https://en.wikipedia.org/wiki/Marti_Ke_language
Q1057802	en	ABC	node js	Q9143	programming language	33	https://en.wikipedia.org/wiki/ABC_(programming_language)
Q1057898	en	Emilian	group of dialects of the Emilian-Romagnol language, mainly spoken in the Emilia region of Italy	Q34770	language	28	https://en.wikipedia.org/wiki/Emilian_language
Q10586712	en	Miwa	language of Australia	Q34770	language	3	
Q10590149	en	Muluridyi	language	Q34770	language	3	
Q105953310	en	Old Meitei	Sino-Tibetan language	Q34770	language	6	
Q10600380	en	Ngarinman	language	Q34770	language	3	
Q10600396	en	Nhuwala	language	Q34770	language	6	https://en.wikipedia.org/wiki/Nhuwala_language
Q10600723	en	Nijadali	language	Q34770	language	2	
Q10604066	en	Nukunu	language	Q34770	language	6	https://en.wikipedia.org/wiki/Nukunu_language
Q10604222	en	Contemporary Swedish	language	Q34770	language	2	https://en.wikipedia.org/wiki/Contemporary_Swedish
Q10604331	en	Nyangga	language	Q34770	language	4	https://en.wikipedia.org/wiki/Yangkaal_language
Q106103295	en	Bura	Espiritu Santo language of Vanuatu	Q34770	language	1	https://en.wikipedia.org/wiki/Bura_language_(Vanuatu)
Q1062121	en	University of the South Pacific	intergovernmental organisation and public research university headquartered in Suva, Fiji	Q3918	university	30	https://en.wikipedia.org/wiki/University_of_the_South_Pacific
Q106274	en	Legnica	city with powiat rights of Poland	Q515	city	72	https://en.wikipedia.org/wiki/Legnica
Q106316	en	Dead Poets Society	1989 film directed by Peter Weir	Q11424	film	85	https://en.wikipedia.org/wiki/Dead_Poets_Society
Q10631927	en	Pinigura	language	Q34770	language	4	https://en.wikipedia.org/wiki/Pinikura_language
Q10632026	en	Pintiini	language	Q34770	language	3	
Q10632195	en	Pirlatapa	language	Q34770	language	5	https://en.wikipedia.org/wiki/Pirlatapa_language
Q1063665	en	Prague University of Economics and Business	Public university in Prague	Q3918	university	24	https://en.wikipedia.org/wiki/Prague_University_of_Economics_and_Business
Q106398670	en	Bhoyari	dialect of the Rajasthani Malvi language, primarily spoken in the regions of Betul, Chhindwara, Pandhurna and Wardha districts by the people of Kshatriya Pawar (Bhoyar Pawar) caste	Q34770	language	5	https://en.wikipedia.org/wiki/Pawari
Q1064482	en	Khitan	extinct language once spoken in Northeast Asia by the Khitan people (4th to 13th century CE)	Q34770	language	29	https://en.wikipedia.org/wiki/Khitan_language
Q1064516	en	C shell	Unix shell	Q9143	programming language	23	https://en.wikipedia.org/wiki/C_shell
Q1064573	en	Khazar University	university in Baku, Azerbaijan	Q3918	university	22	https://en.wikipedia.org/wiki/Khazar_University
Q1065414	en	Vrije Universiteit Amsterdam	university in Amsterdam, Netherlands	Q3918	university	37	https://en.wikipedia.org/wiki/Vrije_Universiteit_Amsterdam
Q106554801	en	Yulparirra	Wati language of Australia	Q34770	language	1	https://en.wikipedia.org/wiki/Yulparija
Q106554892	en	Kartutjarra	Wati language of Australia	Q34770	language	2	https://en.wikipedia.org/wiki/Kartutjarra_language
Q106562519	en	Tsevhu	Constructed Language	Q34770	language	0	
Q106583	en	Bielsko-Biała	city in Silesian Voivodeship, Poland	Q515	city	78	https://en.wikipedia.org/wiki/Bielsko-Bia%C5%82a
Q106608619	en	Blimaw	Karenic language	Q34770	language	1	https://en.wikipedia.org/wiki/Blimaw_language
Q106638475	en	Marawá	language	Q34770	language	4	https://en.wikipedia.org/wiki/Maraw%C3%A1_language
Q1067540	en	Charm++	parallel object-oriented programming language based on C++	Q9143	programming language	10	https://en.wikipedia.org/wiki/Charm%2B%2B
Q1067986	en	Khazar language	language spoken by the Khazars, a nomadic steppe people of Turkic descent	Q34770	language	39	https://en.wikipedia.org/wiki/Khazar_language
Q1068097	en	Oksapmin	language	Q34770	language	14	https://en.wikipedia.org/wiki/Oksapmin_language
Q1068112	en	Manado	Malay creole	Q34770	language	19	https://en.wikipedia.org/wiki/Manado_Malay
Q10686	en	Belfast	capital city of Northern Ireland	Q515	city	161	https://en.wikipedia.org/wiki/Belfast
Q106896	en	Ísafjörður	town in Iceland	Q515	city	68	https://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur
Q10690	en	Cardiff	capital city of Wales, United Kingdom	Q515	city	161	https://en.wikipedia.org/wiki/Cardiff
Q106919818	en	Loro	East Kainji language of Nigeria	Q34770	language	2	https://en.wikipedia.org/wiki/Loro_language
Q106920085	en	Boze	East Kainji language of Nigeria	Q34770	language	4	https://en.wikipedia.org/wiki/Boze_language
Q106934583	en	Gusu	East Kainji language spoken in Nigeria	Q34770	language	3	https://en.wikipedia.org/wiki/Gusu_language
Q1069994	en	Tokyo University of Science	university	Q3918	university	23	https://en.wikipedia.org/wiki/Tokyo_University_of_Science
Q1070391	en	Sabaean	Old South Arabian language spoken in Yemen	Q34770	language	28	https://en.wikipedia.org/wiki/Sabaic
Q10706951	en	Tyaraity	language	Q34770	language	3	
Q107086896	en	Bunu	Kainji language spoken in Nigeria	Q34770	language	3	https://en.wikipedia.org/wiki/Bunu_language_(Nigeria)
Q107086981	en	Moro	language spoken in north-central Nigeria	Q34770	language	3	https://en.wikipedia.org/wiki/Moro_language_(Nigeria)
Q107087480	en	Shammo	kainji language subgroup of Nigeria	Q34770	language	3	https://en.wikipedia.org/wiki/Shammo_languages
Q107094	en	Rybnik	city in Silesian Voivodeship, Poland	Q515	city	70	https://en.wikipedia.org/wiki/Rybnik
Q10710522	en	Urningangg	language	Q34770	language	4	
Q107106	en	Jastrzębie-Zdrój	city with powiat rights of Poland	Q515	city	63	https://en.wikipedia.org/wiki/Jastrz%C4%99bie-Zdr%C3%B3j
Q10713	en	Luwian	extinct ancient Indo-European language	Q34770	language	54	https://en.wikipedia.org/wiki/Luwian_language
Q1071609	en	Chiang Mai University	university in Thailand	Q3918	university	22	https://en.wikipedia.org/wiki/Chiang_Mai_University
Q10717	en	Georgetown	capital city of Guyana	Q515	city	144	https://en.wikipedia.org/wiki/Georgetown,_Guyana
Q107175785	en	Chakpa	extinct Sino-Tibetan language of India	Q34770	language	3	https://en.wikipedia.org/wiki/Chakpa_language
Q10719025	en	Wadjigu	language	Q34770	language	3	
Q10719289	en	Wariyangga	language	Q34770	language	3	
Q10720035	en	Wik-Epa	language	Q34770	language	3	
Q10720036	en	Wik-Iiyanh	language	Q34770	language	3	
Q10720037	en	Wik-Keyangan	language	Q34770	language	3	
Q10720039	en	Wik-Me'anha	language	Q34770	language	7	https://en.wikipedia.org/wiki/Wik-Me%27nh_language
Q10720045	en	Wikngenchera	language	Q34770	language	5	https://en.wikipedia.org/wiki/Kugu_Nganhcara_language
Q10720050	en	Wilawila	language	Q34770	language	3	
Q1072029	en	University of Wales	confederal university based in Cardiff, Wales, UK	Q3918	university	25	https://en.wikipedia.org/wiki/University_of_Wales
Q107212528	en	Kairui		Q34770	language	2	
Q107222330	en	Yidana	Ghanaian male head in Dagbamba culture	Q34770	language	5	https://en.wikipedia.org/wiki/Yidana
Q10723405	en	Nhangu	Australian Aboriginal language of the Yolŋu language group, Arnhem Land, northern Australia	Q34770	language	8	https://en.wikipedia.org/wiki/Nhangu_language
Q10723416	en	Yangman	language	Q34770	language	3	
Q10723454	en	Yawarawarga	language	Q34770	language	3	
Q10723541	en	Yindjilandji	language of Indigenous people of the Northern Territory in Australia	Q34770	language	4	https://en.wikipedia.org/wiki/Yindjilandji
Q10723597	en	Late Modern Swedish	a stage in the devlopment of Swedish	Q34770	language	2	https://en.wikipedia.org/wiki/Late_Modern_Swedish
Q107258515	en	Pahlavi Iran	former sovereign state (1925–1979)	Q6256	country	41	https://en.wikipedia.org/wiki/Pahlavi_Iran
Q107283523	en	Kotoxo	extinct Macro-Jê language of Brazil	Q34770	language	1	https://en.wikipedia.org/wiki/Kotox%C3%B3_language
Q10729616	en	Pemon	language	Q34770	language	19	https://en.wikipedia.org/wiki/Pemon_language
Q107313245	en	Tai Meuay	Tai language spoken in Laos	Q34770	language	2	https://en.wikipedia.org/wiki/Tai_Meuay_language
Q107388730	en	Ritual Maxakalí	ritual language of Brazil	Q34770	language	1	https://en.wikipedia.org/wiki/Ritual_Maxakal%C3%AD_language
